ID,MAG_ab,Replication_rate,CoCo,IMIC
KG13_genomic,20.33,0.68504098,87.1512488267452,8.7452292883885
KG1_genomic,0.09,NaN,0.424032634558746,0.341345850620882
KG10_genomic,0.03,NaN,0.341174421863962,0
KG7_genomic,0.02,NaN,0.265526838002937,0.0273329369248528
KG2_genomic,1.04,0.274945032,4.45830294047296,1.67700818112385
KG9_genomic,9.49,1.606147377,40.6820143318156,4.0644934602053
KG6_genomic,1.68,0.930172866,7.20187398076399,2.70239533594519
KG5_genomic,0.03,NaN,0.20298950565567,0.0593817053002433
KG8_genomic,1.22,NaN,5.22993229555477,0.0233329795851067
KG12_genomic,35.32,1.49560964,151.410826786062,17.3568195933843
KG14_genomic,0.06,NaN,0.278682248310781,0.0100747866330186
KG4_genomic,0.01,NaN,0.141360845147957,0
KG11_genomic,30.57,0.937193188,131.048385471402,18.2450926015579
KG3_genomic,0.1,NaN,0.490658385981476,0.669478761425205
KG13_genomic,35.92,0.710510717,178.304980334233,11.8696864733173
KG1_genomic,0.13,NaN,0.778749914536246,0.266260449046609
KG10_genomic,0.08,NaN,0.498931280406777,0.00248044868796132
KG7_genomic,0.07,NaN,0.555800760309025,2.5016297702062
KG2_genomic,1.49,0.245922371,7.39628119956989,1.52524786989125
KG9_genomic,16.98,1.605857279,84.2878219952861,6.34694845136847
KG6_genomic,5.35,0.701140811,26.5571170594725,10.3383738904374
KG5_genomic,0.03,NaN,0.357204704993379,0.252220031490191
KG8_genomic,2.41,NaN,11.96311254451,0.155004575722307
KG12_genomic,19.95,1.514156652,99.0307449238338,18.064447509739
KG14_genomic,0.16,NaN,0.821136644245454,0.0304805884533747
KG4_genomic,0.02,NaN,0.236767165702723,-8.22241264353152e-09
KG11_genomic,17.27,0.883611978,85.7273666582898,18.9689895459228
KG3_genomic,0.12,NaN,0.739576056162537,0.649785781352707
KG13_genomic,38.06,0.704825052,168.621723791262,27.790103558979
KG1_genomic,0.27,NaN,1.20023804604219,0.192422352275991
KG10_genomic,0.14,NaN,0.671816692402248,0.00609398556967092
KG7_genomic,0.43,0.789107032,1.91755844202167,0.191915693775769
KG2_genomic,3.32,0.286856039,14.7089890427551,1.16757924059617
KG9_genomic,27.91,1.639674925,123.652977167918,17.2344830553619
KG6_genomic,10.86,1.043701501,48.1143436771902,8.6306120940967
KG5_genomic,3.89,0.79204455,17.2343275231084,10.9740998984649
KG8_genomic,4.47,NaN,19.8039701874444,1.60737463987998
KG12_genomic,5.69,1.257465387,25.2090806192975,21.5570025015466
KG14_genomic,0.3,NaN,1.32930109918399,0.109369461812739
KG4_genomic,0.11,NaN,0.506655733676833,0.522042182460748
KG11_genomic,4.34,0.882399155,19.2280157973697,19.8776505865334
KG3_genomic,0.21,NaN,0.938590281457481,0.051887734004937
KG13_genomic,0.64,0.700716825,3.77215030728358,21.294090669998
KG1_genomic,0.17,NaN,1.00198068115969,1.960443714904
KG10_genomic,24.24,0.565959274,142.870192888283,7.36645041763147
KG7_genomic,0.74,0.546231008,4.36308135260637,6.51328098229202
KG2_genomic,0.57,0.174776474,3.35957136742448,4.10001415068031
KG9_genomic,1.65,1.501470092,9.73977595430179,42.5542689330013
KG6_genomic,1.62,0.78112358,9.54825546531245,24.3433858680813
KG5_genomic,0.38,0.52511236,2.2413911644869,23.6563256365595
KG8_genomic,25.38,0.733712511,149.589335623045,7.11645955344868
KG12_genomic,6.22,0.768195032,36.6605857989165,22.0730385062007
KG14_genomic,33.77,0.924128348,199.039868557784,25.3375266504518
KG4_genomic,1.1,0.751070348,6.48338334064411,16.243775778786
KG11_genomic,3.35,0.63770662,19.7448492646896,19.2360942072096
KG3_genomic,0.16,NaN,0.945935445378698,4.08452747360992
KG13_genomic,2.07,NaN,4.99965287240268,2.058752134556
KG1_genomic,0.04,NaN,0.17903153795316,0
KG10_genomic,6.23,0.473705542,15.0472644420622,2.90493335391846
KG7_genomic,0.06,NaN,0.317574703539745,1.60046051597421
KG2_genomic,0.02,NaN,0.215605862895945,0
KG9_genomic,0.28,NaN,0.68645460461702,1.3889802255111
KG6_genomic,4.77,0.781242489,11.5209392277105,13.7593709289851
KG5_genomic,0.01,NaN,0.144990733594345,0.507843733195411
KG8_genomic,2.1,0.741515229,5.07211160968388,16.107418953279
KG12_genomic,0.2,0.766801524,0.485821255243895,1.99845648397711
KG14_genomic,84.03,0.478124956,202.956923124636,19.4973297979173
KG4_genomic,0.05,0.751070348,0.164918697588996,0.035203829372568
KG11_genomic,0.11,0.606080474,0.287275084595493,1.16335183406906
KG3_genomic,0.02,NaN,0.196498891196504,0.00177566193132361
