ID,MAG_ab,Replication_rate,CoCo,IMIC
KG4_genomic,0.01,NaN,NaN,0
KG14_genomic,0.06,NaN,NaN,0
KG7_genomic,0.02,NaN,NaN,0.0013715864446462
KG3_genomic,0.1,NaN,NaN,0.00474854798803147
KG10_genomic,0.03,NaN,NaN,0
KG8_genomic,1.22,NaN,NaN,0.00943042072685996
KG12_genomic,35.32,1.49560964,NaN,5.05282513451369
KG5_genomic,0.03,NaN,NaN,0.0190180514902214
KG13_genomic,20.33,0.68504098,NaN,0.170026571565436
KG9_genomic,9.49,1.606147377,NaN,0.0675347731169156
KG1_genomic,0.09,NaN,NaN,0.00229165195119445
KG2_genomic,1.04,0.274945032,NaN,0.281920617966515
KG6_genomic,1.68,0.930172866,NaN,0.0349764098239896
KG11_genomic,30.57,0.937193188,NaN,20.622206843725
KG4_genomic,0.02,NaN,NaN,0
KG14_genomic,0.16,NaN,NaN,0
KG7_genomic,0.07,NaN,NaN,0.0764142648493974
KG3_genomic,0.12,NaN,NaN,0.00288067985630604
KG10_genomic,0.08,NaN,NaN,0
KG8_genomic,2.41,NaN,NaN,0.0460578354030862
KG12_genomic,19.95,1.514156652,NaN,5.86687929829076
KG5_genomic,0.03,NaN,NaN,0.0437720013881725
KG13_genomic,35.92,0.710510717,NaN,0.578145421551714
KG9_genomic,16.98,1.605857279,NaN,0.263956896434265
KG1_genomic,0.13,NaN,NaN,0.00075192454477342
KG2_genomic,1.49,0.245922371,NaN,0.201177997320499
KG6_genomic,5.35,0.701140811,NaN,0.129449124430363
KG11_genomic,17.27,0.883611978,NaN,20.5394969669277
KG4_genomic,0.11,NaN,NaN,0.314083013056632
KG14_genomic,0.3,NaN,NaN,0
KG7_genomic,0.43,0.789107032,NaN,0
KG3_genomic,0.21,NaN,NaN,5.19805263152299e-05
KG10_genomic,0.14,NaN,NaN,0.00266069010404339
KG8_genomic,4.47,NaN,NaN,0.288379918841574
KG12_genomic,5.69,1.257465387,NaN,9.26130780380787
KG5_genomic,3.89,0.79204455,NaN,2.07122644175618
KG13_genomic,38.06,0.704825052,NaN,5.0915903240366
KG9_genomic,27.91,1.639674925,NaN,1.4170482692101
KG1_genomic,0.27,NaN,NaN,0
KG2_genomic,3.32,0.286856039,NaN,0.140607711737573
KG6_genomic,10.86,1.043701501,NaN,0.0957669385337889
KG11_genomic,4.34,0.882399155,NaN,20.7921895665028
KG4_genomic,1.1,0.751070348,NaN,35.3950835486957
KG14_genomic,33.77,0.924128348,NaN,13.8536558405006
KG7_genomic,0.74,0.546231008,NaN,7.71184395207654
KG3_genomic,0.16,NaN,NaN,0.0108027555484251
KG10_genomic,24.24,0.565959274,NaN,0.112725055530453
KG8_genomic,25.38,0.733712511,NaN,0
KG12_genomic,6.22,0.768195032,NaN,15.9201171888342
KG5_genomic,0.38,0.52511236,NaN,28.0825694343633
KG13_genomic,0.64,0.700716825,NaN,3.29920178355896
KG9_genomic,1.65,1.501470092,NaN,7.91128539538217
KG1_genomic,0.17,NaN,NaN,0.00184485055997705
KG2_genomic,0.57,0.174776474,NaN,0.741232505249163
KG6_genomic,1.62,0.78112358,NaN,7.65720111536579
KG11_genomic,3.35,0.63770662,NaN,22.7783905046781
KG4_genomic,0.05,0.751070348,0.048490813542702,0.00199365305871228
KG14_genomic,84.03,0.478124956,77.8218583512731,7.08714097624312
KG7_genomic,0.06,NaN,0.0579198045181886,0.118863111922529
KG3_genomic,0.02,NaN,0.0276823265897191,1.20254729516731e-06
KG10_genomic,6.23,0.473705542,5.7697272108584,0.250933236280895
KG8_genomic,2.1,0.741515229,1.94485186882867,6.62488457122613
KG12_genomic,0.2,0.766801524,0.185223987507508,0.200512931221174
KG5_genomic,0.01,NaN,0.0358482299630938,0.043017126219582
KG13_genomic,2.07,NaN,1.91706827070255,0.00946925732165171
KG9_genomic,0.28,NaN,0.259313582510498,0.0315325918945153
KG1_genomic,0.04,NaN,0.041475794704628,0
KG2_genomic,0.02,NaN,0.0239275308730588,0
KG6_genomic,4.77,0.781242489,4.4175921020537,0.374250823312453
KG11_genomic,0.11,0.606080474,0.102151487856326,20.6378377444512
