"","Geneid","Chr","Start","End","Strand","Length","study_case.metatranscriptome.all_tp_1000.1_8h_3.bam","TPM","log_normalized","ID","proteinID"
"1","b0001","U00096.3",190,255,"+",66,162,45.8737807501877,5.55070925944117,"thrL","AAC73112.1"
"2","b0002","U00096.3",337,2799,"+",2463,5559,42.1818592065266,5.43235345520684,"thrA","AAC73113.1"
"3","b0003","U00096.3",2801,3733,"+",933,3432,68.747845297173,6.12407674369874,"thrB","AAC73114.1"
"4","b0004","U00096.3",3734,5020,"+",1287,2475,35.9409963142496,5.20715087182611,"thrC","AAC73115.1"
"5","b0005","U00096.3",5234,5530,"+",297,208,13.0888153580782,3.81647840427255,"yaaX","AAC73116.1"
"6","b0006","U00096.3",5683,6459,"-",777,816,19.6273919640443,4.36648951967972,"yaaA","AAC73117.1"
"7","b0007","U00096.3",6529,7959,"-",1431,654,8.54144935468205,3.25420842954249,"yaaJ","AAC73118.1"
"8","b0008","U00096.3",8238,9191,"+",954,19712,386.167545136451,8.59681421151657,"talB","AAC73119.1"
"9","b0009","U00096.3",9306,9893,"+",588,1425,45.2929902531615,5.53272185008735,"mog","AAC73120.1"
"10","b0010","U00096.3",9928,10494,"-",567,1268,41.7955120454385,5.41938760438106,"satP","AAC73121.1"
"11","b0011","U00096.3",10643,11356,"-",714,137,3.58604562664866,2.19725070838846,"yaaW","AAC73122.1"
"12","b0012","U00096.3",10830,11315,"+",486,108,4.15318179631329,2.36546348944674,"mbiA","AYC08161.1"
"13","b0013","U00096.3",11382,11786,"-",405,80,3.69171715227848,2.23011604079496,"yaaI","AAC73124.1"
"14","b0014","U00096.3",12163,14079,"+",1917,181768,1772.10222711801,10.7920600009915,"dnaK","AAC73125.1"
"15","b0015","U00096.3",14168,15298,"+",1131,9730,160.784319143747,7.3379279718945,"dnaJ","AAC73126.1"
"16","b0016","U00096.3",15445,16557,"+",1113,4462,74.9251907351074,6.24650672254415,"insL1","AAC73127.1"
"17","b0018","U00096.3",16751,16960,"-",210,1049,93.3575936642709,6.56006672189109,"mokC","AAC73129.1"
"18","b4412","U00096.3",16751,16903,"-",153,1012,123.618234643207,6.96137137454561,"hokC","AAT48122.1"
"19","b4413","U00096.3",16952,17010,"+",59,369,116.887430047088,6.88126608641715,"sokC",NA
"20","b0019","U00096.3",17489,18655,"+",1167,9540,152.781571992913,7.26473882189563,"nhaA","AAC73130.1"
"21","b0020","U00096.3",18715,19620,"+",906,1449,29.8905319016124,4.94909280771797,"nhaR","AAC73131.1"
"22","b0021","U00096.3",19811,20314,"-",504,263,9.75256082527138,3.42660838725518,"insB1","AAC73132.1"
"23","b0022","U00096.3",20233,20508,"-",276,284,19.2310374481463,4.33849839812114,"insA1","AAC73133.1"
"24","b0023","U00096.3",20815,21078,"-",264,2759,195.317532545938,7.61704521121647,"rpsT","AAC73134.1"
"25","b0024","U00096.3",21181,21399,"+",219,986,84.1446010513336,6.41184314759318,"yaaY","AAC73135.1"
"26","b0025","U00096.3",21407,22348,"+",942,5091,101.005645820212,6.67250519463234,"ribF","AAC73136.1"
"27","b0026","U00096.3",22391,25207,"+",2817,20622,136.816158152672,7.10660123543753,"ileS","AAC73137.1"
"28","b0027","U00096.3",25207,25701,"+",495,2045,77.2114252132789,6.28930746833489,"lspA","AAC73138.1"
"29","b0028","U00096.3",25826,26275,"+",450,1445,60.013476956727,5.93105604233551,"fkpB","AAC73139.1"
"30","b0029","U00096.3",26277,27227,"+",951,1996,39.225950467388,5.33005460454676,"ispH","AAC73140.1"
"31","b0030","U00096.3",27293,28207,"+",915,296,6.04594333627246,2.81679287267457,"rihC","AAC73141.1"
"32","b0031","U00096.3",28374,29195,"+",822,1392,31.6490641996429,5.02896973615731,"dapB","AAC73142.1"
"33","b0032","U00096.3",29651,30799,"+",1149,11313,184.0141475001,7.53149178347765,"carA","AAC73143.1"
"34","b0033","U00096.3",30817,34038,"+",3222,43420,251.859153066932,7.98219019226708,"carB","AAC73144.1"
"35","b0034","U00096.3",34300,34695,"+",396,2352,111.00322255601,6.80739643186734,"caiF","AAC73145.2"
"36","b0035","U00096.3",34781,35371,"-",591,222,7.02035298564632,3.00366573286909,"caiE","AAC73146.2"
"37","b0036","U00096.3",35377,36162,"-",786,49,1.16511016041613,1.11444043088404,"caiD","AAC73147.2"
"38","b0037","U00096.3",36271,37824,"-",1554,242,2.9104343476095,1.96732886235098,"caiC","AAC73148.2"
"39","b0038","U00096.3",37898,39115,"-",1218,368,5.6466905210959,2.73263618162624,"caiB","AAC73149.1"
"40","b0039","U00096.3",39244,40386,"-",1143,568,9.28743015868483,3.36281073111763,"caiA","AAC73150.1"
"41","b0040","U00096.3",40417,41931,"-",1515,24,0.296068405281739,0.374141864330841,"caiT","AAC73151.1"
"42","b0041","U00096.3",42403,43173,"+",771,20,0.484807213577427,0.57027562458075,"fixA","AAC73152.2"
"43","b0042","U00096.3",43188,44129,"+",942,32,0.634881293703942,0.709185887587669,"fixB","AAC73153.1"
"44","b0043","U00096.3",44180,45466,"+",1287,67,0.972948183052414,0.98035306602853,"fixC","AAC73154.1"
"45","b0044","U00096.3",45463,45750,"+",288,5,0.324467327836976,0.405412255524112,"fixX","AAC73155.1"
"46","b0045","U00096.3",45807,47138,"+",1332,15,0.210465293732092,0.275561715207648,"yaaU","AAC73156.1"
"47","b0046","U00096.3",47246,47776,"+",531,641,22.5609282325154,4.5583244731927,"kefF","AAC73157.1"
"48","b0047","U00096.3",47769,49631,"+",1863,1538,15.428970054903,4.03817013431967,"kefC","AAC73158.1"
"49","b0048","U00096.3",49823,50302,"+",480,4476,174.277891127796,7.45350022140073,"folA","AAC73159.1"
"50","b0049","U00096.3",50380,51222,"-",843,2143,47.5103305489291,5.60022010496382,"apaH","AAC73160.1"
"51","b0050","U00096.3",51229,51606,"-",378,4766,235.643624300347,7.8865722429975,"apaG","AAC73161.1"
"52","b0051","U00096.3",51609,52430,"-",822,7639,173.683334354218,7.44859816442083,"rsmA","AAC73162.1"
"53","b0052","U00096.3",52427,53416,"-",990,2151,40.6067911084995,5.37874712082419,"pdxA","AAC73163.1"
"54","b0053","U00096.3",53416,54702,"-",1287,12351,179.35646281911,7.4947073107656,"surA","AAC73164.1"
"55","b0054","U00096.3",54755,57109,"-",2355,37233,295.481690105986,8.211799200418,"lptD","AAC73165.1"
"56","b0055","U00096.3",57364,58179,"+",816,339,7.76431229200481,3.13164089168775,"djlA","AAC73166.1"
"57","b0056","U00096.3",58474,59124,"+",651,536,15.38782564164,4.03455254333814,"yabP","AYC08162.1"
"58","b0057","U00096.3",59121,59279,"+",159,295,34.6751499031817,5.1568475866521,"yabQ","AYC08163.1"
