"","Geneid","Chr","Start","End","Strand","Length","study_case.metatranscriptome.all_tp_1.1_4h_3.bam","TPM","log_normalized","ID","proteinID"
"1","b0001","U00096.3",190,255,"+",66,113,33.4796079188117,5.10767146395469,"thrL","AAC73112.1"
"2","b0002","U00096.3",337,2799,"+",2463,3633,28.8434258083596,4.89934125089087,"thrA","AAC73113.1"
"3","b0003","U00096.3",2801,3733,"+",933,1388,29.0906669154265,4.9112441771291,"thrB","AAC73114.1"
"4","b0004","U00096.3",3734,5020,"+",1287,1298,19.721593409856,4.37306303980905,"thrC","AAC73115.1"
"5","b0005","U00096.3",5234,5530,"+",297,151,9.94183047343279,3.45178220358812,"yaaX","AAC73116.1"
"6","b0006","U00096.3",5683,6459,"-",777,779,19.6047944959373,4.36490816970836,"yaaA","AAC73117.1"
"7","b0007","U00096.3",6529,7959,"-",1431,526,7.18773348985157,3.0334641435036,"yaaJ","AAC73118.1"
"8","b0008","U00096.3",8238,9191,"+",954,22639,464.039254211263,8.86120868979259,"talB","AAC73119.1"
"9","b0009","U00096.3",9306,9893,"+",588,899,29.8970419639813,4.94939681818942,"mog","AAC73120.1"
"10","b0010","U00096.3",9928,10494,"-",567,362,12.484506132201,3.75323077896203,"satP","AAC73121.1"
"11","b0011","U00096.3",10643,11356,"-",714,92,2.51962245956998,1.81542068314722,"yaaW","AAC73122.1"
"12","b0012","U00096.3",10830,11315,"+",486,66,2.65554412204275,1.87008616506872,"mbiA","AYC08161.1"
"13","b0013","U00096.3",11382,11786,"-",405,54,2.60726150164198,1.85090401238168,"yaaI","AAC73124.1"
"14","b0014","U00096.3",12163,14079,"+",1917,138365,1411.39959966624,10.4639326019515,"dnaK","AAC73125.1"
"15","b0015","U00096.3",14168,15298,"+",1131,6688,115.632393388472,6.86582472694438,"dnaJ","AAC73126.1"
"16","b0016","U00096.3",15445,16557,"+",1113,2066,36.2978589109995,5.2210209096268,"insL1","AAC73127.1"
"17","b0018","U00096.3",16751,16960,"-",210,345,32.1251863595172,5.04985666595456,"mokC","AAC73129.1"
"18","b4412","U00096.3",16751,16903,"-",153,323,41.2816404426646,5.40195944636164,"hokC","AAT48122.1"
"19","b4413","U00096.3",16952,17010,"+",59,136,45.0746903673698,5.52590256552987,"sokC",NA
"20","b0019","U00096.3",17489,18655,"+",1167,5603,93.8848727101542,6.56810619471929,"nhaA","AAC73130.1"
"21","b0020","U00096.3",18715,19620,"+",906,2100,45.3249102106635,5.53371627483648,"nhaR","AAC73131.1"
"22","b0021","U00096.3",19811,20314,"-",504,350,13.5794869877186,3.8658680509517,"insB1","AAC73132.1"
"23","b0022","U00096.3",20233,20508,"-",276,284,20.1212572409326,4.40062380843193,"insA1","AAC73133.1"
"24","b0023","U00096.3",20815,21078,"-",264,399,29.553901680544,4.93328471636358,"rpsT","AAC73134.1"
"25","b0024","U00096.3",21181,21399,"+",219,298,26.6083536811407,4.78703295576269,"yaaY","AAC73135.1"
"26","b0025","U00096.3",21407,22348,"+",942,2409,50.0071095338815,5.67262644343074,"ribF","AAC73136.1"
"27","b0026","U00096.3",22391,25207,"+",2817,9278,64.4040793722957,6.03130871695076,"ileS","AAC73137.1"
"28","b0027","U00096.3",25207,25701,"+",495,673,26.5861665243189,4.78587308327088,"lspA","AAC73138.1"
