"","Geneid","Chr","Start","End","Strand","Length","study_case.metatranscriptome.all_tp_1.1_0h_3.bam","TPM","log_normalized","ID","proteinID"
"1","b0001","U00096.3",190,255,"+",66,136,40.6208715186618,5.37923526953503,"thrL","AAC73112.1"
"2","b0002","U00096.3",337,2799,"+",2463,2121,16.9758105861198,4.16798492269843,"thrA","AAC73113.1"
"3","b0003","U00096.3",2801,3733,"+",933,2210,46.6944101862431,5.57574828629332,"thrB","AAC73114.1"
"4","b0004","U00096.3",3734,5020,"+",1287,2972,45.522334145348,5.53985157724105,"thrC","AAC73115.1"
"5","b0005","U00096.3",5234,5530,"+",297,139,9.22598225668952,3.35416752277742,"yaaX","AAC73116.1"
"6","b0006","U00096.3",5683,6459,"-",777,676,17.1506246089467,4.18194729075163,"yaaA","AAC73117.1"
"7","b0007","U00096.3",6529,7959,"-",1431,720,9.91852578702064,3.44870617245187,"yaaJ","AAC73118.1"
"8","b0008","U00096.3",8238,9191,"+",954,38117,787.634265466387,9.62321258541506,"talB","AAC73119.1"
"9","b0009","U00096.3",9306,9893,"+",588,1528,51.2271615010255,5.70672839155801,"mog","AAC73120.1"
"10","b0010","U00096.3",9928,10494,"-",567,499,17.3488922942682,4.19762106641348,"satP","AAC73121.1"
"11","b0011","U00096.3",10643,11356,"-",714,50,1.38046708695403,1.25124468190141,"yaaW","AAC73122.1"
"12","b0012","U00096.3",10830,11315,"+",486,38,1.54135115239657,1.34559573423396,"mbiA","AYC08161.1"
"13","b0013","U00096.3",11382,11786,"-",405,34,1.65492439520474,1.40867077770881,"yaaI","AAC73124.1"
"14","b0014","U00096.3",12163,14079,"+",1917,87326,897.998722466751,9.81217525535628,"dnaK","AAC73125.1"
"15","b0015","U00096.3",14168,15298,"+",1131,5461,95.1839746059265,6.58772463875311,"dnaJ","AAC73126.1"
"16","b0016","U00096.3",15445,16557,"+",1113,5061,89.638676800199,6.50205489483964,"insL1","AAC73127.1"
"17","b0018","U00096.3",16751,16960,"-",210,778,73.0322307682159,6.21008159598071,"mokC","AAC73129.1"
"18","b4412","U00096.3",16751,16903,"-",153,754,97.1480704659115,6.61688800031061,"hokC","AAT48122.1"
"19","b4413","U00096.3",16952,17010,"+",59,238,79.5205196678888,6.3312845781236,"sokC",NA
"20","b0019","U00096.3",17489,18655,"+",1167,3213,54.2742878453071,5.78853662734564,"nhaA","AAC73130.1"
"21","b0020","U00096.3",18715,19620,"+",906,932,20.2787872423705,4.41134402348604,"nhaR","AAC73131.1"
"22","b0021","U00096.3",19811,20314,"-",504,785,30.7038887923358,4.9865879067764,"insB1","AAC73132.1"
"23","b0022","U00096.3",20233,20508,"-",276,1022,72.9954983396413,6.20936559913402,"insA1","AAC73133.1"
"24","b0023","U00096.3",20815,21078,"-",264,3107,232.001926118533,7.86419807079235,"rpsT","AAC73134.1"
"25","b0024","U00096.3",21181,21399,"+",219,818,73.6314669470022,6.22171213872725,"yaaY","AAC73135.1"
"26","b0025","U00096.3",21407,22348,"+",942,5573,116.625200763794,6.87805337513604,"ribF","AAC73136.1"
"27","b0026","U00096.3",22391,25207,"+",2817,22409,156.815827358244,7.30209809034914,"ileS","AAC73137.1"
"28","b0027","U00096.3",25207,25701,"+",495,3198,127.358379526157,7.00403367116699,"lspA","AAC73138.1"
"29","b0028","U00096.3",25826,26275,"+",450,3091,135.40688750059,7.09177268099958,"fkpB","AAC73139.1"
"30","b0029","U00096.3",26277,27227,"+",951,4240,87.8900281884573,6.47394967940958,"ispH","AAC73140.1"
"31","b0030","U00096.3",27293,28207,"+",915,662,14.2623522853855,3.93190542723858,"rihC","AAC73141.1"
"32","b0031","U00096.3",28374,29195,"+",822,1554,37.2677746747534,5.25805810357492,"dapB","AAC73142.1"
"33","b0032","U00096.3",29651,30799,"+",1149,1068,18.3233757718184,4.27227524826533,"carA","AAC73143.1"
"34","b0033","U00096.3",30817,34038,"+",3222,2397,14.6654962116956,3.96951856333967,"carB","AAC73144.1"
"35","b0034","U00096.3",34300,34695,"+",396,3497,174.082337868579,7.45188974325138,"caiF","AAC73145.2"
