"","Geneid","Chr","Start","End","Strand","Length","study_case.metatranscriptome.all_tp_1.1000_8h_3.bam","TPM","log_normalized","ID","proteinID"
"1","b0001","U00096.3",190,255,"+",66,12,6.66219824954756,2.93775835412762,"thrL","AAC73112.1"
"2","b0002","U00096.3",337,2799,"+",2463,92,1.36868547067441,1.2440866409487,"thrA","AAC73113.1"
"3","b0003","U00096.3",2801,3733,"+",933,117,4.59498882484872,2.48413524963752,"thrB","AAC73114.1"
"4","b0004","U00096.3",3734,5020,"+",1287,91,2.59085487482405,1.84432734734886,"thrC","AAC73115.1"
"5","b0005","U00096.3",5234,5530,"+",297,5,0.616870208291441,0.693203873388149,"yaaX","AAC73116.1"
"6","b0006","U00096.3",5683,6459,"-",777,11,0.518742592146239,0.602877371813102,"yaaA","AAC73117.1"
"7","b0007","U00096.3",6529,7959,"-",1431,41,1.04984326014883,1.03551359926676,"yaaJ","AAC73118.1"
"8","b0008","U00096.3",8238,9191,"+",954,1028,39.4843489548658,5.33929237203935,"talB","AAC73119.1"
"9","b0009","U00096.3",9306,9893,"+",588,39,2.43034272878903,1.77835272462632,"mog","AAC73120.1"
"10","b0010","U00096.3",9928,10494,"-",567,15,0.969367470172265,0.977732333144611,"satP","AAC73121.1"
"11","b0011","U00096.3",10643,11356,"-",714,6,0.307916725819425,0.387270688334573,"yaaW","AAC73122.1"
"12","b0012","U00096.3",10830,11315,"+",486,5,0.376976238400325,0.461503664020595,"mbiA","AYC08161.1"
"13","b0013","U00096.3",11382,11786,"-",405,0,0,0,"yaaI","AAC73124.1"
"14","b0014","U00096.3",12163,14079,"+",1917,1233,23.5679172818502,4.61870365488683,"dnaK","AAC73125.1"
"15","b0015","U00096.3",14168,15298,"+",1131,121,3.92015290457463,2.29870315118317,"dnaJ","AAC73126.1"
"16","b0016","U00096.3",15445,16557,"+",1113,92,3.02881609548164,2.01035595187716,"insL1","AAC73127.1"
"17","b0018","U00096.3",16751,16960,"-",210,28,4.88561204966821,2.55719245011631,"mokC","AAC73129.1"
"18","b4412","U00096.3",16751,16903,"-",153,27,6.46625124220793,2.90038405669735,"hokC","AAT48122.1"
"19","b4413","U00096.3",16952,17010,"+",59,9,5.58947141275601,2.72016274129082,"sokC",NA
"20","b0019","U00096.3",17489,18655,"+",1167,75,2.3548901267681,1.74626551868703,"nhaA","AAC73130.1"
"21","b0020","U00096.3",18715,19620,"+",906,54,2.18396565134175,1.67082477215474,"nhaR","AAC73131.1"
"22","b0021","U00096.3",19811,20314,"-",504,14,1.01783584368088,1.01280881213479,"insB1","AAC73132.1"
"23","b0022","U00096.3",20233,20508,"-",276,20,2.65522394003707,1.86995979667948,"insA1","AAC73133.1"
"24","b0023","U00096.3",20815,21078,"-",264,118,16.3779040301378,4.1191821823519,"rpsT","AAC73134.1"
"25","b0024","U00096.3",21181,21399,"+",219,39,6.52530376496782,2.91174981859893,"yaaY","AAC73135.1"
"26","b0025","U00096.3",21407,22348,"+",942,157,6.10701506208527,2.82924375684435,"ribF","AAC73136.1"
"27","b0026","U00096.3",22391,25207,"+",2817,527,6.85494555424693,2.97360127566076,"ileS","AAC73137.1"
"28","b0027","U00096.3",25207,25701,"+",495,53,3.92329452473357,2.29962404805596,"lspA","AAC73138.1"
"29","b0028","U00096.3",25826,26275,"+",450,57,4.6413314471848,2.49603570261594,"fkpB","AAC73139.1"
"30","b0029","U00096.3",26277,27227,"+",951,83,3.19799526910459,2.06970054079796,"ispH","AAC73140.1"
"31","b0030","U00096.3",27293,28207,"+",915,75,3.00345003053374,2.00124379916942,"rihC","AAC73141.1"
"32","b0031","U00096.3",28374,29195,"+",822,41,1.82764684339778,1.49960194720036,"dapB","AAC73142.1"
"33","b0032","U00096.3",29651,30799,"+",1149,209,6.66509737846382,2.93830412019905,"carA","AAC73143.1"
"34","b0033","U00096.3",30817,34038,"+",3222,480,5.45878441303711,2.69126266549135,"carB","AAC73144.1"
"35","b0034","U00096.3",34300,34695,"+",396,166,15.3600681864569,4.03210685612902,"caiF","AAC73145.2"
"36","b0035","U00096.3",34781,35371,"-",591,22,1.36400336412057,1.2412320885597,"caiE","AAC73146.2"
"37","b0036","U00096.3",35377,36162,"-",786,6,0.279710613530623,0.355817604267584,"caiD","AAC73147.2"
"38","b0037","U00096.3",36271,37824,"-",1554,13,0.306529713540959,0.385739935289951,"caiC","AAC73148.2"
"39","b0038","U00096.3",37898,39115,"-",1218,18,0.54150872471692,0.624343054913926,"caiB","AAC73149.1"
"40","b0039","U00096.3",39244,40386,"-",1143,4,0.128231287392866,0.17406285051194,"caiA","AAC73150.1"
"41","b0040","U00096.3",40417,41931,"-",1515,0,0,0,"caiT","AAC73151.1"
"42","b0041","U00096.3",42403,43173,"+",771,2,0.0950508180869302,0.130997822612575,"fixA","AAC73152.2"
"43","b0042","U00096.3",43188,44129,"+",942,4,0.155592740435293,0.208633045869702,"fixB","AAC73153.1"
"44","b0043","U00096.3",44180,45466,"+",1287,4,0.113883730761497,0.155598649367305,"fixC","AAC73154.1"
"45","b0044","U00096.3",45463,45750,"+",288,0,0,0,"fixX","AAC73155.1"
"46","b0045","U00096.3",45807,47138,"+",1332,0,0,0,"yaaU","AAC73156.1"
"47","b0046","U00096.3",47246,47776,"+",531,20,1.38011639821136,1.25103212942231,"kefF","AAC73157.1"
"48","b0047","U00096.3",47769,49631,"+",1863,20,0.393366509635122,0.478574792816756,"kefC","AAC73158.1"
"49","b0048","U00096.3",49823,50302,"+",480,16,1.22140301241705,1.15147115392524,"folA","AAC73159.1"
"50","b0049","U00096.3",50380,51222,"-",843,17,0.73892708936263,0.798197443846274,"apaH","AAC73160.1"
"51","b0050","U00096.3",51229,51606,"-",378,85,8.23962349646425,3.20783406475273,"apaG","AAC73161.1"
"52","b0051","U00096.3",51609,52430,"-",822,101,4.50225198007746,2.4600222105527,"rsmA","AAC73162.1"
