"","Geneid","Chr","Start","End","Strand","Length","study_case.metatranscriptome.all_tp_1.1_0h_2.bam","TPM","log_normalized","ID","proteinID"
"1","b0001","U00096.3",190,255,"+",66,143,45.0057053217344,5.52374088059989,"thrL","AAC73112.1"
"2","b0002","U00096.3",337,2799,"+",2463,1945,16.4032787127843,4.12128722493102,"thrA","AAC73113.1"
"3","b0003","U00096.3",2801,3733,"+",933,2355,52.430589182629,5.73959402082908,"thrB","AAC73114.1"
"4","b0004","U00096.3",3734,5020,"+",1287,2528,40.8012992839679,5.38547588028934,"thrC","AAC73115.1"
"5","b0005","U00096.3",5234,5530,"+",297,119,8.32273338506043,3.2207530088404,"yaaX","AAC73116.1"
"6","b0006","U00096.3",5683,6459,"-",777,795,21.2530654771481,4.47593218350801,"yaaA","AAC73117.1"
"7","b0007","U00096.3",6529,7959,"-",1431,908,13.1801904312643,3.82580500210483,"yaaJ","AAC73118.1"
"8","b0008","U00096.3",8238,9191,"+",954,41497,903.532536882444,9.82102858864632,"talB","AAC73119.1"
"9","b0009","U00096.3",9306,9893,"+",588,1614,57.0166470873464,5.85839501623795,"mog","AAC73120.1"
"10","b0010","U00096.3",9928,10494,"-",567,510,18.683687190952,4.29892858964179,"satP","AAC73121.1"
"11","b0011","U00096.3",10643,11356,"-",714,68,1.97827276139492,1.57447588739604,"yaaW","AAC73122.1"
"12","b0012","U00096.3",10830,11315,"+",486,42,1.79509935756205,1.48289956754586,"mbiA","AYC08161.1"
"13","b0013","U00096.3",11382,11786,"-",405,46,2.35927344136727,1.74814923422929,"yaaI","AAC73124.1"
"14","b0014","U00096.3",12163,14079,"+",1917,154850,1677.89417817998,10.7132955837719,"dnaK","AAC73125.1"
"15","b0015","U00096.3",14168,15298,"+",1131,6651,122.151783756317,6.9442937140611,"dnaJ","AAC73126.1"
"16","b0016","U00096.3",15445,16557,"+",1113,3676,68.6050063291294,6.12111917030705,"insL1","AAC73127.1"
"17","b0018","U00096.3",16751,16960,"-",210,754,74.5808831045884,6.23994947036757,"mokC","AAC73129.1"
"18","b4412","U00096.3",16751,16903,"-",153,744,101.008279817105,6.67254244752324,"hokC","AAT48122.1"
"19","b4413","U00096.3",16952,17010,"+",59,244,85.903979910064,6.44135034402178,"sokC",NA
"20","b0019","U00096.3",17489,18655,"+",1167,3944,70.2007125920191,6.15381977495302,"nhaA","AAC73130.1"
"21","b0020","U00096.3",18715,19620,"+",906,1368,31.3641390117843,5.01632421903121,"nhaR","AAC73131.1"
"22","b0021","U00096.3",19811,20314,"-",504,567,23.3683469939775,4.60693648528081,"insB1","AAC73132.1"
"23","b0022","U00096.3",20233,20508,"-",276,647,48.6934637845521,5.63498420048302,"insA1","AAC73133.1"
"24","b0023","U00096.3",20815,21078,"-",264,1887,148.471618779917,7.22372776561937,"rpsT","AAC73134.1"
"25","b0024","U00096.3",21181,21399,"+",219,590,55.9607294832946,5.83189571758199,"yaaY","AAC73135.1"
"26","b0025","U00096.3",21407,22348,"+",942,5496,121.191257446473,6.93299725652041,"ribF","AAC73136.1"
"27","b0026","U00096.3",22391,25207,"+",2817,19851,146.376383442574,7.20336154582199,"ileS","AAC73137.1"
"28","b0027","U00096.3",25207,25701,"+",495,3121,130.967651570287,7.04404052361228,"lspA","AAC73138.1"
"29","b0028","U00096.3",25826,26275,"+",450,2796,129.062514953404,7.02306141560329,"fkpB","AAC73139.1"
"30","b0029","U00096.3",26277,27227,"+",951,4112,89.8148314889453,6.50485602641452,"ispH","AAC73140.1"
"31","b0030","U00096.3",27293,28207,"+",915,432,9.80704398435775,3.43390005623007,"rihC","AAC73141.1"
"32","b0031","U00096.3",28374,29195,"+",822,1920,48.5182224692476,5.62988762266999,"dapB","AAC73142.1"
