"","Geneid","Chr","Start","End","Strand","Length","study_case.metatranscriptome.all_tp_1000.1_4h_1.bam","TPM","log_normalized","ID","proteinID"
"1","b0001","U00096.3",190,255,"+",66,267,88.9075777671894,6.49037081181083,"thrL","AAC73112.1"
"2","b0002","U00096.3",337,2799,"+",2463,3556,31.7299065444204,5.03253757786601,"thrA","AAC73113.1"
"3","b0003","U00096.3",2801,3733,"+",933,2620,61.7150521153317,5.97073983785048,"thrB","AAC73114.1"
"4","b0004","U00096.3",3734,5020,"+",1287,3957,67.5707836790105,6.09952210540033,"thrC","AAC73115.1"
"5","b0005","U00096.3",5234,5530,"+",297,349,25.8250059431953,4.74550658550448,"yaaX","AAC73116.1"
"6","b0006","U00096.3",5683,6459,"-",777,1752,49.5546639691488,5.65977229037414,"yaaA","AAC73117.1"
"7","b0007","U00096.3",6529,7959,"-",1431,540,8.2932656810607,3.21618565301026,"yaaJ","AAC73118.1"
"8","b0008","U00096.3",8238,9191,"+",954,51196,1179.39452724329,10.2050534216788,"talB","AAC73119.1"
"9","b0009","U00096.3",9306,9893,"+",588,1598,59.7270275163057,5.92426684835926,"mog","AAC73120.1"
"10","b0010","U00096.3",9928,10494,"-",567,476,18.4499564904585,4.28169502279446,"satP","AAC73121.1"
"11","b0011","U00096.3",10643,11356,"-",714,70,2.15462294655008,1.65746757869435,"yaaW","AAC73122.1"
"12","b0012","U00096.3",10830,11315,"+",486,53,2.39668552449583,1.76412765529342,"mbiA","AYC08161.1"
"13","b0013","U00096.3",11382,11786,"-",405,53,2.876022629395,1.95457699366854,"yaaI","AAC73124.1"
"14","b0014","U00096.3",12163,14079,"+",1917,82615,947.12706428701,9.88893660621114,"dnaK","AAC73125.1"
"15","b0015","U00096.3",14168,15298,"+",1131,7452,144.804378440717,7.1878902335813,"dnaJ","AAC73126.1"
"16","b0016","U00096.3",15445,16557,"+",1113,3785,74.7381204828923,6.2429477146355,"insL1","AAC73127.1"
"17","b0018","U00096.3",16751,16960,"-",210,397,41.5472864750472,5.41099521942313,"mokC","AAC73129.1"
"18","b4412","U00096.3",16751,16903,"-",153,382,54.8710643721421,5.80402939951409,"hokC","AAT48122.1"
"19","b4413","U00096.3",16952,17010,"+",59,143,53.2666615226772,5.76199425190327,"sokC",NA
"20","b0019","U00096.3",17489,18655,"+",1167,2425,45.6680364892171,5.54436286352088,"nhaA","AAC73130.1"
"21","b0020","U00096.3",18715,19620,"+",906,1465,35.5370095919403,5.1912866548674,"nhaR","AAC73131.1"
"22","b0021","U00096.3",19811,20314,"-",504,405,17.6602130797587,4.22189355521187,"insB1","AAC73132.1"
"23","b0022","U00096.3",20233,20508,"-",276,523,41.6451143864713,5.4143085643525,"insA1","AAC73133.1"
"24","b0023","U00096.3",20815,21078,"-",264,5461,454.610751111069,8.83165798070051,"rpsT","AAC73134.1"
"25","b0024","U00096.3",21181,21399,"+",219,1426,143.102382110321,7.17095037421411,"yaaY","AAC73135.1"
"26","b0025","U00096.3",21407,22348,"+",942,7254,169.23808440934,7.41141001200528,"ribF","AAC73136.1"
"27","b0026","U00096.3",22391,25207,"+",2817,27702,216.120383963923,7.76235136696302,"ileS","AAC73137.1"
"28","b0027","U00096.3",25207,25701,"+",495,3127,138.833456018977,7.1275657654962,"lspA","AAC73138.1"
"29","b0028","U00096.3",25826,26275,"+",450,3464,169.175248101922,7.41087740284182,"fkpB","AAC73139.1"
"30","b0029","U00096.3",26277,27227,"+",951,4339,100.27220972011,6.66209452581447,"ispH","AAC73140.1"
"31","b0030","U00096.3",27293,28207,"+",915,2095,50.3192762238566,5.68142891855704,"rihC","AAC73141.1"
"32","b0031","U00096.3",28374,29195,"+",822,2078,55.5578176714075,5.82165454856757,"dapB","AAC73142.1"
"33","b0032","U00096.3",29651,30799,"+",1149,12355,236.316569492766,7.89066902309423,"carA","AAC73143.1"
"34","b0033","U00096.3",30817,34038,"+",3222,17444,118.984939581664,6.90670952098847,"carB","AAC73144.1"
"35","b0034","U00096.3",34300,34695,"+",396,773,42.899848697901,5.45614406236635,"caiF","AAC73145.2"
"36","b0035","U00096.3",34781,35371,"-",591,164,6.09856728424532,2.82752787243556,"caiE","AAC73146.2"
"37","b0036","U00096.3",35377,36162,"-",786,81,2.26482121938891,1.70700399239563,"caiD","AAC73147.2"
"38","b0037","U00096.3",36271,37824,"-",1554,217,3.06888187251863,2.02463239680254,"caiC","AAC73148.2"
"39","b0038","U00096.3",37898,39115,"-",1218,472,8.51659828725018,3.25044597362478,"caiB","AAC73149.1"
"40","b0039","U00096.3",39244,40386,"-",1143,540,10.3829074274697,3.50879719343362,"caiA","AAC73150.1"
"41","b0040","U00096.3",40417,41931,"-",1515,41,0.594761264849667,0.673340469259043,"caiT","AAC73151.1"
"42","b0041","U00096.3",42403,43173,"+",771,49,1.39673222916437,1.26106873533838,"fixA","AAC73152.2"
"43","b0042","U00096.3",43188,44129,"+",942,71,1.65645216336685,1.40950073340394,"fixB","AAC73153.1"
"44","b0043","U00096.3",44180,45466,"+",1287,86,1.46855885680943,1.30366904305949,"fixC","AAC73154.1"
"45","b0044","U00096.3",45463,45750,"+",288,22,1.67881037918694,1.42159246296878,"fixX","AAC73155.1"
"46","b0045","U00096.3",45807,47138,"+",1332,34,0.560978406804481,0.642450580485868,"yaaU","AAC73156.1"
"47","b0046","U00096.3",47246,47776,"+",531,493,20.4044010339393,4.41983555959968,"kefF","AAC73157.1"
"48","b0047","U00096.3",47769,49631,"+",1863,1161,13.6959075993749,3.8773425555223,"kefC","AAC73158.1"
"49","b0048","U00096.3",49823,50302,"+",480,2656,121.606919103287,6.93789658702798,"folA","AAC73159.1"
"50","b0049","U00096.3",50380,51222,"-",843,2176,56.7286918425486,5.85121662850171,"apaH","AAC73160.1"
"51","b0050","U00096.3",51229,51606,"-",378,3200,186.049981416388,7.54728001233021,"apaG","AAC73161.1"
"52","b0051","U00096.3",51609,52430,"-",822,8243,220.386473082489,7.79042326459067,"rsmA","AAC73162.1"
"53","b0052","U00096.3",52427,53416,"-",990,4410,97.8982316987029,6.62787282070169,"pdxA","AAC73163.1"
"54","b0053","U00096.3",53416,54702,"-",1287,13242,226.123911417098,7.82733578955314,"surA","AAC73164.1"
"55","b0054","U00096.3",54755,57109,"-",2355,27944,260.776897200694,8.03219396939284,"lptD","AAC73165.1"
"56","b0055","U00096.3",57364,58179,"+",816,914,24.6165671643347,4.67900525023841,"djlA","AAC73166.1"
"57","b0056","U00096.3",58474,59124,"+",651,557,18.8038015492007,4.30770549235105,"yabP","AYC08162.1"
"58","b0057","U00096.3",59121,59279,"+",159,274,37.8725799435105,5.28068095631261,"yabQ","AYC08163.1"
"59","b0058","U00096.3",59687,60346,"-",660,509,16.9490475968162,4.16583538942018,"rluA","AAC73169.1"
"60","b0059","U00096.3",60358,63264,"-",2907,2329,17.607427517597,4.21780671105077,"rapA","AAC73170.1"
"61","b0060","U00096.3",63429,65780,"-",2352,1254,11.7174112179986,3.66873311747004,"polB","AAC73171.1"
"62","b0061","U00096.3",65855,66550,"-",696,130,4.10492819989283,2.3518906699401,"araD","AAC73172.1"
"63","b0062","U00096.3",66835,68337,"-",1503,415,6.06820953609215,2.82134480901803,"araA","AAC73173.1"
"64","b0063","U00096.3",68348,70048,"-",1701,244,3.15251357399991,2.05398488416847,"araB","AAC73174.1"
"65","b0064","U00096.3",70387,71265,"+",879,1877,46.9295997279636,5.58284498658859,"araC","AAC73175.1"
"66","b0065","U00096.3",71351,72115,"+",765,1141,32.7789970935153,5.07805458970248,"yabI","AAC73176.1"
"67","b0066","U00096.3",72229,72927,"-",699,416,13.0793935433495,3.81551328746731,"thiQ","AAC73177.1"
"68","b0067","U00096.3",72911,74521,"-",1611,320,4.36541855837335,2.42369072056904,"thiP","AAC73178.1"
"69","b0068","U00096.3",74497,75480,"-",984,1979,44.1999876773076,5.49825047421168,"thiB","AAC73179.1"
"70","b4762","U00096.3",75516,75608,"-",93,310,73.2571801827029,6.21445862670174,"sroA",NA
"71","b0069","U00096.3",75644,77299,"-",1656,1951,25.8921664015314,4.74911407660804,"sgrR","AAC73180.1"
"72","b4577","U00096.3",77367,77593,"+",227,217,21.0089974885196,4.46002152674652,"sgrS",NA
"73","b4662","U00096.3",77388,77519,"+",132,201,33.4652118561893,5.10706897841557,"sgrT","ACO59989.1"
"74","b0070","U00096.3",77621,78799,"+",1179,584,10.8860542561574,3.57119796641974,"setA","AAT48123.1"
"75","b0071","U00096.3",78848,79453,"-",606,624,22.6299408089141,4.56254411036954,"leuD","AAC73182.1"
"76","b0072","U00096.3",79464,80864,"-",1401,909,14.2592669777467,3.93161375476819,"leuC","AAC73183.1"
"77","b0073","U00096.3",80867,81958,"-",1092,681,13.7055328858298,3.87828715914053,"leuB","AAC73184.2"
"78","b0074","U00096.3",81958,83529,"-",1572,922,12.8899084214603,3.7959651823031,"leuA","AAC73185.1"
"79","b0075","U00096.3",83622,83708,"-",87,16,4.04177545835602,2.33393186743688,"leuL","AAC73186.1"
"80","b0076","U00096.3",84368,85312,"+",945,215,5.00009325056543,2.5849849225683,"leuO","AAC73187.2"
"81","b4726","U00096.3",85467,85511,"-",45,0,0,0,"yabR","AYC08164.1"
"82","b0077","U00096.3",85630,87354,"+",1725,1248,15.8999931944371,4.07895076042714,"ilvI","AAC73188.2"
"83","b0078","U00096.3",87357,87848,"+",492,409,18.2696260333692,4.26825666833527,"ilvH","AAC73189.1"
"84","b0080","U00096.3",88028,89032,"+",1005,7928,173.368037160737,7.44599179837685,"cra","AAC73191.1"
"85","b0081","U00096.3",89634,90092,"+",459,1725,82.5938796177532,6.3853254131702,"mraZ","AAC73192.1"
"86","b0082","U00096.3",90094,91035,"+",942,4200,97.9873110724051,6.62917169658283,"rsmH","AAC73193.1"
"87","b0083","U00096.3",91032,91397,"+",366,1201,72.1162896716608,6.19212095674792,"ftsL","AAC73194.1"
"88","b0084","U00096.3",91413,93179,"+",1767,2958,36.7902782649296,5.23994323666481,"ftsI","AAC73195.1"
"89","b4810","U00096.3",92485,92658,"+",174,1318,166.470626691039,7.38776426777341,"ftsO",NA
"90","b0085","U00096.3",93166,94653,"+",1488,6300,93.0484345062557,6.5553320242939,"murE","AAC73196.1"
"91","b0086","U00096.3",94650,96008,"+",1359,5844,94.506613904573,6.5775287392078,"murF","AAC73197.1"
"92","b0087","U00096.3",96002,97084,"+",1083,1960,39.7739814842376,5.34957693439983,"mraY","AAC73198.1"
"93","b0088","U00096.3",97087,98403,"+",1317,3292,54.9345414946373,5.80566756674127,"murD","AAC73199.1"
"94","b0089","U00096.3",98403,99647,"+",1245,2208,38.9763503237127,5.32107486086119,"ftsW","AAC73200.1"
"95","b0090","U00096.3",99644,100711,"+",1068,2295,47.2261877863211,5.59174486643975,"murG","AAC73201.1"
"96","b0091","U00096.3",100765,102240,"+",1476,5435,80.9253606286565,6.35623821329353,"murC","AAC73202.1"
