out_transport,flux_sum_micom_ab1_1,flux_sum_micom_ab1_2,flux_sum_micom_ab1_3,flux_sum_micom_ab1_4,flux_sum_micom_ab1_5
MNXM1106044[e],0,0,0,0,0
MNXM1106082[e],1.95163137755047e-11,1.95163137755047e-11,1.95163137755047e-11,1.95163137755047e-11,1.95163137755047e-11
MNXM1106164[e],8942.88417883056,8942.88417883056,8942.88417883056,8942.88417883056,8942.88417883056
MNXM1106181[e],1999.99999999714,1999.99999999714,1999.99999999714,1999.99999999714,1999.99999999714
MNXM1106761[e],6837.27257009395,6837.27257009395,6837.27257009395,6837.27257009395,6837.27257009395
MNXM1106762[e],1368.14362505763,1368.14362505763,1368.14362505763,1368.14362505763,1368.14362505763
MNXM1106891[e],500.000000009344,500.000000009344,500.000000009344,500.000000009344,500.000000009344
MNXM1106903[e],0,0,0,0,0
MNXM1107192[e],10579.7804961885,10579.7804961885,10579.7804961885,10579.7804961885,10579.7804961885
MNXM1107418[e],5721.83032337105,5721.83032337105,5721.83032337105,5721.83032337105,5721.83032337105
MNXM1107671[e],5.62593866464178e-12,5.62593866464178e-12,5.62593866464178e-12,5.62593866464178e-12,5.62593866464178e-12
MNXM1107708[e],1428.27063592641,1428.27063592641,1428.27063592641,1428.27063592641,1428.27063592641
MNXM1107753[e],18527.7616982831,18527.7616982831,18527.7616982831,18527.7616982831,18527.7616982831
MNXM1107769[e],4463.95918024911,4463.95918024911,4463.95918024911,4463.95918024911,4463.95918024911
MNXM1107801[e],0,0,0,0,0
MNXM1107821[e],8093.40290296068,8093.40290296068,8093.40290296068,8093.40290296068,8093.40290296068
MNXM1107894[e],5.62678714139681e-12,5.62678714139681e-12,5.62678714139681e-12,5.62678714139681e-12,5.62678714139681e-12
MNXM1107900[e],1000.00000001006,1000.00000001006,1000.00000001006,1000.00000001006,1000.00000001006
MNXM1107902[e],3000.00000000001,3000.00000000001,3000.00000000001,3000.00000000001,3000.00000000001
MNXM1107903[e],5730.95720652234,5730.95720652234,5730.95720652234,5730.95720652234,5730.95720652234
MNXM1107906[e],0,0,0,0,0
MNXM1107981[e],5.77115476893639e-11,5.77115476893639e-11,5.77115476893639e-11,5.77115476893639e-11,5.77115476893639e-11
MNXM1108018[e],7481.79459554098,7481.79459554098,7481.79459554098,7481.79459554098,7481.79459554098
MNXM1108051[e],1990.09874295744,1990.09874295744,1990.09874295744,1990.09874295744,1990.09874295744
MNXM1108069[e],0,0,0,0,0
MNXM1108092[e],5985.06151256571,5985.06151256571,5985.06151256571,5985.06151256571,5985.06151256571
MNXM1108175[e],2916.77157687367,2916.77157687367,2916.77157687367,2916.77157687367,2916.77157687367
MNXM1108176[e],6814.37676813365,6814.37676813365,6814.37676813365,6814.37676813365,6814.37676813365
MNXM1108206[e],7460.58050350414,7460.58050350414,7460.58050350414,7460.58050350414,7460.58050350414
MNXM1118[e],9545.76607366674,9545.76607366674,9545.76607366674,9545.76607366674,9545.76607366674
MNXM112[e],0,0,0,0,0
MNXM1137656[e],676.992915619263,676.992915619263,676.992915619263,676.992915619263,676.992915619263
MNXM1137663[e],139.396712286026,139.396712286026,139.396712286026,139.396712286026,139.396712286026
MNXM1137670[e],1025.05561265496,1025.05561265496,1025.05561265496,1025.05561265496,1025.05561265496
MNXM114[e],3880.73862165994,3880.73862165994,3880.73862165994,3880.73862165994,3880.73862165994
MNXM1148[e],0,0,0,0,0
MNXM1157[e],8049.94736821845,8049.94736821845,8049.94736821845,8049.94736821845,8049.94736821845
MNXM117[e],9000.00000000005,9000.00000000005,9000.00000000005,9000.00000000005,9000.00000000005
MNXM118[e],11288.9426890765,11288.9426890765,11288.9426890765,11288.9426890765,11288.9426890765
MNXM11903[e],0,0,0,0,0
MNXM12236[e],6285.39013321055,6285.39013321055,6285.39013321055,6285.39013321055,6285.39013321055
MNXM1233[e],0,0,0,0,0
MNXM124[e],217.503912359352,217.503912359352,217.503912359352,217.503912359352,217.503912359352
MNXM12480[e],0,0,0,0,0
MNXM124865[e],12972.9393084478,12972.9393084478,12972.9393084478,12972.9393084478,12972.9393084478
MNXM1275[e],2.05820015511952e-11,2.05820015511952e-11,2.05820015511952e-11,2.05820015511952e-11,2.05820015511952e-11
MNXM128[e],7815.88996030557,7815.88996030557,7815.88996030557,7815.88996030557,7815.88996030557
MNXM13[e],8078.88270442113,8078.88270442113,8078.88270442113,8078.88270442113,8078.88270442113
MNXM142[e],12028.6399295975,12028.6399295975,12028.6399295975,12028.6399295975,12028.6399295975
MNXM145924[e],0,0,0,0,0
MNXM146231[e],0,0,0,0,0
MNXM1485[e],0,0,0,0,0
MNXM1517[e],0,0,0,0,0
MNXM152246[e],0,0,0,0,0
MNXM1547[e],0,0,0,0,0
MNXM1562[e],2160.76972025485,2160.76972025485,2160.76972025485,2160.76972025485,2160.76972025485
MNXM1565[e],999.999999990601,999.999999990601,999.999999990601,999.999999990601,999.999999990601
MNXM158[e],4320.95116243211,4320.95116243211,4320.95116243211,4320.95116243211,4320.95116243211
MNXM1608[e],1000,1000,1000,1000,1000
MNXM164[e],65.1989849344701,65.1989849344701,65.1989849344701,65.1989849344701,65.1989849344701
MNXM16413[e],0,0,0,0,0
MNXM1653[e],0,0,0,0,0
MNXM168[e],0,0,0,0,0
MNXM1692[e],0,0,0,0,0
MNXM169454[e],5377.2421038605,5377.2421038605,5377.2421038605,5377.2421038605,5377.2421038605
MNXM1734[e],0,0,0,0,0
MNXM174[e],295.506235493481,295.506235493481,295.506235493481,295.506235493481,295.506235493481
MNXM1747[e],4000.00000001997,4000.00000001997,4000.00000001997,4000.00000001997,4000.00000001997
MNXM1771[e],3.24372110256915e-08,3.24372110256915e-08,3.24372110256915e-08,3.24372110256915e-08,3.24372110256915e-08
MNXM1781[e],0,0,0,0,0
MNXM1812[e],0,0,0,0,0
MNXM19009[e],0,0,0,0,0
MNXM192[e],3197.42981685577,3197.42981685577,3197.42981685577,3197.42981685577,3197.42981685577
MNXM199[e],8086.54750826636,8086.54750826636,8086.54750826636,8086.54750826636,8086.54750826636
MNXM20[e],3614.4297643297,3614.4297643297,3614.4297643297,3614.4297643297,3614.4297643297
MNXM2029[e],5.01219439506028e-09,5.01219439506028e-09,5.01219439506028e-09,5.01219439506028e-09,5.01219439506028e-09
MNXM2150[e],7.69144939201638e-12,7.69144939201638e-12,7.69144939201638e-12,7.69144939201638e-12,7.69144939201638e-12
MNXM216[e],2000,2000,2000,2000,2000
MNXM217[e],5369.84968549186,5369.84968549186,5369.84968549186,5369.84968549186,5369.84968549186
MNXM218[e],1000.00000000001,1000.00000000001,1000.00000000001,1000.00000000001,1000.00000000001
MNXM222[e],6136.8831129543,6136.8831129543,6136.8831129543,6136.8831129543,6136.8831129543
MNXM2255[e],4868.6806768233,4868.6806768233,4868.6806768233,4868.6806768233,4868.6806768233
MNXM2282[e],176.347315822397,176.347315822397,176.347315822397,176.347315822397,176.347315822397
MNXM23[e],2000.00000000476,2000.00000000476,2000.00000000476,2000.00000000476,2000.00000000476
MNXM236[e],3.49653888866021e-11,3.49653888866021e-11,3.49653888866021e-11,3.49653888866021e-11,3.49653888866021e-11
MNXM249[e],4000.00000000001,4000.00000000001,4000.00000000001,4000.00000000001,4000.00000000001
MNXM2495[e],0,0,0,0,0
MNXM25[e],11015.382444977,11015.382444977,11015.382444977,11015.382444977,11015.382444977
MNXM2527[e],0,0,0,0,0
MNXM2561[e],0,0,0,0,0
MNXM26[e],8959.24060751539,8959.24060751539,8959.24060751539,8959.24060751539,8959.24060751539
MNXM27[e],124598.908968964,124598.908968964,124598.908968964,124598.908968964,124598.908968964
MNXM270[e],5049.8857032926,5049.8857032926,5049.8857032926,5049.8857032926,5049.8857032926
MNXM274[e],5001.12655795459,5001.12655795459,5001.12655795459,5001.12655795459,5001.12655795459
MNXM2806[e],2768.09505359295,2768.09505359295,2768.09505359295,2768.09505359295,2768.09505359295
MNXM282[e],5000.00000000005,5000.00000000005,5000.00000000005,5000.00000000005,5000.00000000005
MNXM2861[e],3833.93121477349,3833.93121477349,3833.93121477349,3833.93121477349,3833.93121477349
MNXM289[e],1287.30088548785,1287.30088548785,1287.30088548785,1287.30088548785,1287.30088548785
MNXM29[e],5886.85932818173,5886.85932818173,5886.85932818173,5886.85932818173,5886.85932818173
MNXM2902[e],718.157406813948,718.157406813948,718.157406813948,718.157406813948,718.157406813948
MNXM291[e],4000.00000004751,4000.00000004751,4000.00000004751,4000.00000004751,4000.00000004751
MNXM304[e],7576.75758516759,7576.75758516759,7576.75758516759,7576.75758516759,7576.75758516759
MNXM3060[e],1.19946476109229e-11,1.19946476109229e-11,1.19946476109229e-11,1.19946476109229e-11,1.19946476109229e-11
MNXM30887[e],0,0,0,0,0
MNXM311[e],5999.99999999999,5999.99999999999,5999.99999999999,5999.99999999999,5999.99999999999
MNXM3132[e],2.88545272717781e-11,2.88545272717781e-11,2.88545272717781e-11,2.88545272717781e-11,2.88545272717781e-11
MNXM314[e],1568.21942162679,1568.21942162679,1568.21942162679,1568.21942162679,1568.21942162679
MNXM32178[e],4.4898561030105e-11,4.4898561030105e-11,4.4898561030105e-11,4.4898561030105e-11,4.4898561030105e-11
MNXM3230[e],6051.59542484213,6051.59542484213,6051.59542484213,6051.59542484213,6051.59542484213
MNXM32692[e],7.88927032068977e-12,7.88927032068977e-12,7.88927032068977e-12,7.88927032068977e-12,7.88927032068977e-12
MNXM328[e],2999.99999999576,2999.99999999576,2999.99999999576,2999.99999999576,2999.99999999576
MNXM3300[e],0,0,0,0,0
MNXM337[e],0,0,0,0,0
MNXM3382[e],0,0,0,0,0
MNXM341[e],999.999999997069,999.999999997069,999.999999997069,999.999999997069,999.999999997069
MNXM3448[e],2.6495897306643e-11,2.6495897306643e-11,2.6495897306643e-11,2.6495897306643e-11,2.6495897306643e-11
MNXM3449[e],7.69144939201638e-12,7.69144939201638e-12,7.69144939201638e-12,7.69144939201638e-12,7.69144939201638e-12
MNXM3453[e],5.53076027913741e-11,5.53076027913741e-11,5.53076027913741e-11,5.53076027913741e-11,5.53076027913741e-11
MNXM3455[e],1.21491495754124e-11,1.21491495754124e-11,1.21491495754124e-11,1.21491495754124e-11,1.21491495754124e-11
MNXM34740[e],1.73799911038393e-11,1.73799911038393e-11,1.73799911038393e-11,1.73799911038393e-11,1.73799911038393e-11
MNXM34809[e],5.38277128744918e-12,5.38277128744918e-12,5.38277128744918e-12,5.38277128744918e-12,5.38277128744918e-12
MNXM34810[e],4.48986350009733e-11,4.48986350009733e-11,4.48986350009733e-11,4.48986350009733e-11,4.48986350009733e-11
MNXM34811[e],1.54357625569082e-11,1.54357625569082e-11,1.54357625569082e-11,1.54357625569082e-11,1.54357625569082e-11
MNXM353[e],162.160572941756,162.160572941756,162.160572941756,162.160572941756,162.160572941756
MNXM355[e],0,0,0,0,0
MNXM367[e],0,0,0,0,0
MNXM3685[e],0,0,0,0,0
MNXM3693[e],1.95956074180839e-11,1.95956074180839e-11,1.95956074180839e-11,1.95956074180839e-11,1.95956074180839e-11
MNXM37[e],11147.1843734826,11147.1843734826,11147.1843734826,11147.1843734826,11147.1843734826
MNXM3775[e],2.38857132096534e-11,2.38857132096534e-11,2.38857132096534e-11,2.38857132096534e-11,2.38857132096534e-11
MNXM383[e],0,0,0,0,0
MNXM386[e],5041.27506486462,5041.27506486462,5041.27506486462,5041.27506486462,5041.27506486462
MNXM39[e],6093.54796074092,6093.54796074092,6093.54796074092,6093.54796074092,6093.54796074092
MNXM398[e],0,0,0,0,0
MNXM402[e],7.26892872165468e-11,7.26892872165468e-11,7.26892872165468e-11,7.26892872165468e-11,7.26892872165468e-11
MNXM4026[e],0,0,0,0,0
MNXM40494[e],0,0,0,0,0
MNXM418[e],0,0,0,0,0
MNXM420[e],2.97409469101261e-09,2.97409469101261e-09,2.97409469101261e-09,2.97409469101261e-09,2.97409469101261e-09
MNXM421[e],1000,1000,1000,1000,1000
MNXM4217[e],506.880744556057,506.880744556057,506.880744556057,506.880744556057,506.880744556057
MNXM42654[e],2000,2000,2000,2000,2000
MNXM435[e],5163.07010877739,5163.07010877739,5163.07010877739,5163.07010877739,5163.07010877739
MNXM444[e],0,0,0,0,0
MNXM458[e],3370.50370206534,3370.50370206534,3370.50370206534,3370.50370206534,3370.50370206534
MNXM460[e],1000,1000,1000,1000,1000
MNXM461[e],3175.1501641515,3175.1501641515,3175.1501641515,3175.1501641515,3175.1501641515
MNXM473[e],5.03211003849078e-08,5.03211003849078e-08,5.03211003849078e-08,5.03211003849078e-08,5.03211003849078e-08
MNXM490899[e],1000.00000000947,1000.00000000947,1000.00000000947,1000.00000000947,1000.00000000947
MNXM492[e],3000.00000004087,3000.00000004087,3000.00000004087,3000.00000004087,3000.00000004087
MNXM5[e],3999.84319011271,3999.84319011271,3999.84319011271,3999.84319011271,3999.84319011271
MNXM518[e],0,0,0,0,0
MNXM5266[e],1.18670276555098e-11,1.18670276555098e-11,1.18670276555098e-11,1.18670276555098e-11,1.18670276555098e-11
MNXM5269[e],1.16367654202103e-11,1.16367654202103e-11,1.16367654202103e-11,1.16367654202103e-11,1.16367654202103e-11
MNXM5271[e],1.4176307230738e-11,1.4176307230738e-11,1.4176307230738e-11,1.4176307230738e-11,1.4176307230738e-11
MNXM5272[e],1.27316336222471e-11,1.27316336222471e-11,1.27316336222471e-11,1.27316336222471e-11,1.27316336222471e-11
MNXM529[e],0,0,0,0,0
MNXM544[e],1256.33373017953,1256.33373017953,1256.33373017953,1256.33373017953,1256.33373017953
MNXM58[e],11138.5011296796,11138.5011296796,11138.5011296796,11138.5011296796,11138.5011296796
MNXM59271[e],7.47941511351689e-12,7.47941511351689e-12,7.47941511351689e-12,7.47941511351689e-12,7.47941511351689e-12
MNXM5970[e],2.10849525673604e-12,2.10849525673604e-12,2.10849525673604e-12,2.10849525673604e-12,2.10849525673604e-12
MNXM601[e],1012.26693010726,1012.26693010726,1012.26693010726,1012.26693010726,1012.26693010726
MNXM617[e],11193.2655199611,11193.2655199611,11193.2655199611,11193.2655199611,11193.2655199611
MNXM625[e],1000.00000001624,1000.00000001624,1000.00000001624,1000.00000001624,1000.00000001624
MNXM63489[e],1.42486968062467e-11,1.42486968062467e-11,1.42486968062467e-11,1.42486968062467e-11,1.42486968062467e-11
MNXM636[e],0,0,0,0,0
MNXM6396[e],376.484788075687,376.484788075687,376.484788075687,376.484788075687,376.484788075687
MNXM647[e],3523.55813854587,3523.55813854587,3523.55813854587,3523.55813854587,3523.55813854587
MNXM652[e],6003.72142996665,6003.72142996665,6003.72142996665,6003.72142996665,6003.72142996665
MNXM653[e],5970.46505537229,5970.46505537229,5970.46505537229,5970.46505537229,5970.46505537229
MNXM65309[e],0,0,0,0,0
MNXM66[e],1000.00000000598,1000.00000000598,1000.00000000598,1000.00000000598,1000.00000000598
MNXM660[e],0,0,0,0,0
MNXM664[e],2.3756503249051e-11,2.3756503249051e-11,2.3756503249051e-11,2.3756503249051e-11,2.3756503249051e-11
MNXM683[e],1000.00000000942,1000.00000000942,1000.00000000942,1000.00000000942,1000.00000000942
MNXM694[e],0,0,0,0,0
MNXM704[e],0,0,0,0,0
MNXM722863[e],0,0,0,0,0
MNXM724515[e],1.48285792842945e-12,1.48285792842945e-12,1.48285792842945e-12,1.48285792842945e-12,1.48285792842945e-12
MNXM726092[e],1.48356915181104e-12,1.48356915181104e-12,1.48356915181104e-12,1.48356915181104e-12,1.48356915181104e-12
MNXM726339[e],166.842976082957,166.842976082957,166.842976082957,166.842976082957,166.842976082957
MNXM726637[e],2838.02803673259,2838.02803673259,2838.02803673259,2838.02803673259,2838.02803673259
MNXM726638[e],0,0,0,0,0
MNXM726711[e],4390.97330545076,4390.97330545076,4390.97330545076,4390.97330545076,4390.97330545076
MNXM726712[e],3986.43891644894,3986.43891644894,3986.43891644894,3986.43891644894,3986.43891644894
MNXM726800[e],0,0,0,0,0
MNXM726888[e],5125.2465426279,5125.2465426279,5125.2465426279,5125.2465426279,5125.2465426279
MNXM726951[e],0,0,0,0,0
MNXM727276[e],9000.15207914243,9000.15207914243,9000.15207914243,9000.15207914243,9000.15207914243
MNXM727657[e],6300.0336321588,6300.0336321588,6300.0336321588,6300.0336321588,6300.0336321588
MNXM727715[e],0,0,0,0,0
MNXM727746[e],0,0,0,0,0
MNXM728337[e],7860.03499490649,7860.03499490649,7860.03499490649,7860.03499490649,7860.03499490649
MNXM728947[e],0,0,0,0,0
MNXM729215[e],3575.72081524793,3575.72081524793,3575.72081524793,3575.72081524793,3575.72081524793
MNXM729302[e],9768.26427703831,9768.26427703831,9768.26427703831,9768.26427703831,9768.26427703831
MNXM729358[e],1.95294783879489e-11,1.95294783879489e-11,1.95294783879489e-11,1.95294783879489e-11,1.95294783879489e-11
MNXM729383[e],0,0,0,0,0
MNXM729595[e],0,0,0,0,0
MNXM729613[e],5639.04211825675,5639.04211825675,5639.04211825675,5639.04211825675,5639.04211825675
MNXM729800[e],5831.31238674929,5831.31238674929,5831.31238674929,5831.31238674929,5831.31238674929
MNXM729832[e],0,0,0,0,0
MNXM729972[e],4000,4000,4000,4000,4000
MNXM730037[e],1.45487182605545e-12,1.45487182605545e-12,1.45487182605545e-12,1.45487182605545e-12,1.45487182605545e-12
MNXM730135[e],7999.89598078032,7999.89598078032,7999.89598078032,7999.89598078032,7999.89598078032
MNXM730514[e],0,0,0,0,0
MNXM730561[e],0,0,0,0,0
MNXM730707[e],0,0,0,0,0
MNXM730708[e],0,0,0,0,0
MNXM731166[e],3321.19519999051,3321.19519999051,3321.19519999051,3321.19519999051,3321.19519999051
MNXM731178[e],0,0,0,0,0
MNXM731183[e],0,0,0,0,0
MNXM731368[e],0,0,0,0,0
MNXM731668[e],3.0245890620808e-11,3.0245890620808e-11,3.0245890620808e-11,3.0245890620808e-11,3.0245890620808e-11
MNXM731815[e],4.32765592504396e-08,4.32765592504396e-08,4.32765592504396e-08,4.32765592504396e-08,4.32765592504396e-08
MNXM731834[e],2721.51362346608,2721.51362346608,2721.51362346608,2721.51362346608,2721.51362346608
MNXM731835[e],6553.31481335497,6553.31481335497,6553.31481335497,6553.31481335497,6553.31481335497
MNXM731950[e],5742.41816045481,5742.41816045481,5742.41816045481,5742.41816045481,5742.41816045481
MNXM73204[e],0,0,0,0,0
MNXM732398[e],1874.8823603792,1874.8823603792,1874.8823603792,1874.8823603792,1874.8823603792
MNXM732487[e],0,0,0,0,0
MNXM732620[e],6006.71111187526,6006.71111187526,6006.71111187526,6006.71111187526,6006.71111187526
MNXM732757[e],0,0,0,0,0
MNXM733114[e],4288.68417247681,4288.68417247681,4288.68417247681,4288.68417247681,4288.68417247681
MNXM733186[e],3469.33138004226,3469.33138004226,3469.33138004226,3469.33138004226,3469.33138004226
MNXM733248[e],4111.12408302961,4111.12408302961,4111.12408302961,4111.12408302961,4111.12408302961
MNXM733250[e],0,0,0,0,0
MNXM733435[e],1404.76881035467,1404.76881035467,1404.76881035467,1404.76881035467,1404.76881035467
MNXM733471[e],2.79352383341529e-11,2.79352383341529e-11,2.79352383341529e-11,2.79352383341529e-11,2.79352383341529e-11
MNXM733473[e],5.38277128744918e-12,5.38277128744918e-12,5.38277128744918e-12,5.38277128744918e-12,5.38277128744918e-12
MNXM733515[e],0,0,0,0,0
MNXM733618[e],0,0,0,0,0
MNXM733623[e],1000,1000,1000,1000,1000
MNXM733828[e],0,0,0,0,0
MNXM733922[e],1.54353187316846e-11,1.54353187316846e-11,1.54353187316846e-11,1.54353187316846e-11,1.54353187316846e-11
MNXM734041[e],1999.99999996646,1999.99999996646,1999.99999996646,1999.99999996646,1999.99999996646
MNXM734044[e],8.66035191180706e-12,8.66035191180706e-12,8.66035191180706e-12,8.66035191180706e-12,8.66035191180706e-12
MNXM734750[e],0,0,0,0,0
MNXM734859[e],1494.70400068313,1494.70400068313,1494.70400068313,1494.70400068313,1494.70400068313
MNXM734864[e],4888.51838204213,4888.51838204213,4888.51838204213,4888.51838204213,4888.51838204213
MNXM735090[e],5204.38175468183,5204.38175468183,5204.38175468183,5204.38175468183,5204.38175468183
MNXM735438[e],3425.43505738569,3425.43505738569,3425.43505738569,3425.43505738569,3425.43505738569
MNXM735978[e],7567.83595102251,7567.83595102251,7567.83595102251,7567.83595102251,7567.83595102251
MNXM736064[e],3606.7699017434,3606.7699017434,3606.7699017434,3606.7699017434,3606.7699017434
MNXM736072[e],0,0,0,0,0
MNXM736095[e],0,0,0,0,0
MNXM736134[e],0,0,0,0,0
MNXM736226[e],1000,1000,1000,1000,1000
MNXM736341[e],0,0,0,0,0
MNXM736417[e],7391.49677702875,7391.49677702875,7391.49677702875,7391.49677702875,7391.49677702875
MNXM736618[e],62.4575601657528,62.4575601657528,62.4575601657528,62.4575601657528,62.4575601657528
MNXM736620[e],1.76440647619284e-11,1.76440647619284e-11,1.76440647619284e-11,1.76440647619284e-11,1.76440647619284e-11
MNXM736685[e],0,0,0,0,0
MNXM736797[e],0,0,0,0,0
MNXM737068[e],2953.66997619605,2953.66997619605,2953.66997619605,2953.66997619605,2953.66997619605
MNXM737265[e],1999.99999999732,1999.99999999732,1999.99999999732,1999.99999999732,1999.99999999732
MNXM737340[e],10212.9298693238,10212.9298693238,10212.9298693238,10212.9298693238,10212.9298693238
MNXM737414[e],1718.15740680183,1718.15740680183,1718.15740680183,1718.15740680183,1718.15740680183
MNXM737417[e],1718.15740670651,1718.15740670651,1718.15740670651,1718.15740670651,1718.15740670651
MNXM737489[e],1506.88074453395,1506.88074453395,1506.88074453395,1506.88074453395,1506.88074453395
MNXM737492[e],1999.99999985097,1999.99999985097,1999.99999985097,1999.99999985097,1999.99999985097
MNXM737603[e],0,0,0,0,0
MNXM737701[e],0,0,0,0,0
MNXM737787[e],9258.52242293363,9258.52242293363,9258.52242293363,9258.52242293363,9258.52242293363
MNXM737824[e],6.9365393829694e-12,6.9365393829694e-12,6.9365393829694e-12,6.9365393829694e-12,6.9365393829694e-12
MNXM737997[e],0,0,0,0,0
MNXM738068[e],4504.2425532237,4504.2425532237,4504.2425532237,4504.2425532237,4504.2425532237
MNXM738430[e],1000.000000001,1000.000000001,1000.000000001,1000.000000001,1000.000000001
MNXM738432[e],0,0,0,0,0
