out_transport,flux_sum_coco_1,flux_sum_coco_2,flux_sum_coco_3,flux_sum_coco_4,flux_sum_coco_5
MNXM311[e],6899.14334731811,5952.91509961557,5998.96587940994,5059.88033899577,5050.86704108382
MNXM3132[e],83.7502278113996,47.1155118026432,54.3653946701695,38.7662195339294,80.1844312166173
MNXM314[e],230.877833590441,16348.5891855816,18546.2929392469,103.558494512911,201.561849797215
MNXM32178[e],74.763307886705,52.9724878541615,62.4721215986164,56.4939386957305,99.0504468342812
MNXM3230[e],5021.81283974184,5032.10577022211,4985.13892769703,6425.91385463964,5608.27316953754
MNXM32692[e],23.4046282733473,13.1426429590268,14.0681589117228,13.3574174188545,52.7042508029607
MNXM328[e],1122.15177129439,1135.0224699054,1124.24417315111,55.9347913440528,2129.69207773193
MNXM3300[e],0,0,0,0,0
MNXM337[e],0,0,0,0,0
MNXM3382[e],0,0,0,0,0
MNXM341[e],252.130016275767,245.887774348072,246.951026918205,2368.563533528,73.8508281134251
MNXM3448[e],44.7407179308892,31.3570463333483,37.7271056423073,25.380368993362,61.3587235670526
MNXM3449[e],31.7798593463687,19.5951928059055,24.9222372976936,13.8412410621627,36.7893582193962
MNXM3453[e],55.7259137251031,35.9857110872267,41.1255009610682,24.3062367595774,50.0090706226703
MNXM3455[e],49.3633888055026,26.398494653528,30.8443615554083,18.226742863765,47.600607588636
MNXM34740[e],52.903738207189,23.067402811515,31.9345773346878,23.2801397905589,59.6683329091442
MNXM34809[e],31.6381475692486,17.2617652831147,21.1135868791616,8.56543063568714,15.5026800444868
MNXM34810[e],74.7633078867052,52.9724878541614,62.4721215986164,56.4939386957304,99.0504468342831
MNXM34811[e],29.8259343536051,31.0246232947486,41.4560705956345,34.1834668716333,64.1705195151047
MNXM353[e],78.8245800482985,100.706571485561,791.68179330204,667.734536635815,787.623275944208
MNXM3685[e],0,0,0,0,0
MNXM3693[e],48.0408638687914,29.1633040366733,37.0317136913187,33.1868784417294,52.7833207565156
MNXM37[e],12935.8747607597,22652.7870488947,23473.2528273311,18921.2462329839,21794.6512690394
MNXM3775[e],91.8498648642052,49.8876763489026,61.7380822385158,46.9909590975087,64.5186194354265
MNXM383[e],0,0,0,0,0
MNXM386[e],12570.0799225043,1504.03723089236,1440.71830743018,4102.05870796325,23444.889358946
MNXM39[e],3513.58562064101,3427.99141355348,2746.25961114265,13956.7150453494,4616.34307975904
MNXM398[e],0,0,0,0,0
MNXM402[e],227.208975401041,130.964279016053,150.587582748346,104.32558786039,217.414257170152
MNXM4026[e],0,0,0,0,0
MNXM40494[e],0,0,0,0,0
MNXM40495[e],0,0,0,0,0
MNXM40496[e],0,0,0,0,0
MNXM4217[e],693.666172310984,417.160543435474,409.801000207648,351.375118616136,276.846828841196
MNXM435[e],27747.0949975472,7004.56129680917,4835.04904880299,4489.98653510012,5204.06794034949
MNXM4428[e],0,0,0,0,0
MNXM444[e],0,0,0,0,0
MNXM448[e],2989.00754623709,2993.51221622684,2987.35813927171,2014.25816529072,2000
MNXM458[e],19982.7432598419,1132.17035793255,939.999726297939,807.983420699431,523.625249527603
MNXM460[e],1000,1000,1000,689.851473777694,1978.32707126944
MNXM461[e],550.618214923942,365.48244283848,432.958146156936,4724.39789840823,651.133997841943
MNXM464[e],0,0,0,0,0
MNXM490899[e],110.055661720436,65.8933887703047,82.9090601646431,49.8816135573013,91.7690203982996
MNXM5[e],441.877499191378,393.63997128322,324.890310219689,10117.6004404028,41.3981965558754
MNXM518[e],0,0,0,0,0
MNXM5266[e],35.745905156377,19.8216817482567,25.2998312285193,14.7737856012176,18.0743946978338
MNXM5269[e],34.2823706298834,16.9560116257236,21.1701571366657,15.9522920507216,20.8206033348209
MNXM5271[e],32.2490880684067,16.510112998717,19.844484252366,12.8615710908184,15.6066496313617
MNXM5272[e],35.6555255518141,19.3606565370707,21.9295409246711,17.8256493369183,21.6215705353115
MNXM544[e],9234.3488362893,15930.8863258117,580.008451695961,570.55380838106,956.642809120253
MNXM55276[e],0,0,0,0,0
MNXM55287[e],0,0,0,0,0
MNXM577[e],0,0,0,0,0
MNXM58[e],40913.5977812104,16277.189576814,21103.552843535,5388.60793599569,3237.17449856411
MNXM582[e],194.593263454739,211.400203915755,209.755432288009,2331.26609027735,19.978154905645
MNXM59271[e],13.2143375843249,12.0939456081581,14.2709139860091,15.3878534744779,18.8957771534357
MNXM5970[e],4.57742713875369,10.8607323521926,13.5173479334552,13.249295235222,10.6229793892083
MNXM601[e],1000.92268348317,1002.64976890443,1003.08990600941,821.045568432574,263.30338073066
MNXM617[e],9903.12448782808,10015.3288748065,9800.58421609499,8589.89828926343,6013.61117331016
MNXM63489[e],33.9341776114888,27.1603189551226,35.0085880222758,33.5105832008199,48.6176388958386
MNXM647[e],9499.07936158871,15752.4103097617,20503.3427809666,3142.2078377645,20473.4127583678
MNXM652[e],6664.56023426244,7156.89479937004,6215.11059113208,5132.07976245763,6217.2733671419
MNXM653[e],19204.4856444304,2866.6553686419,3415.16743630372,12083.9642926311,1547.15622319004
MNXM65309[e],0,0,0,0,0
MNXM66[e],192.374561755771,157.371021142062,202.328792616848,662.768782213012,316.108698626103
MNXM664[e],120.651846196198,52.5867993411603,66.8740910346424,46.6758073706293,82.6170396584686
MNXM683[e],35.1534373360167,21.3365791348944,26.3382717125876,15.5966540340278,32.71336494479
MNXM694[e],65.4224862226796,79.8567803688569,68.4884701488544,94.3312598313285,129.692077688577
MNXM722863[e],0,0,0,0,0
MNXM724515[e],108.859929487126,1.89373519050212,1.98705098051388,0,138.641178997225
MNXM726092[e],63.307197039387,1015.59267570889,1027.36041545878,1012.28291208742,2000
MNXM726339[e],630.483696332026,593.93326083623,885.355262329009,678.502850727867,206.572077223256
MNXM726637[e],3005.63416998449,3006.83326422594,3000,3285.31735043417,3003.29104098234
MNXM726638[e],2.02709755577914,1.28724765217541,1.03368355458406,1000,1000
MNXM726711[e],3506.39074658631,2999.9872052055,3594.67025917475,4409.12193049707,2599.45895222086
MNXM726712[e],11649.3578796405,19117.5724925388,22267.1334869441,2852.67330430213,1840.49052597235
MNXM726888[e],1496.94388507759,1515.62743890873,1527.68924548987,4402.70107799415,17687.3954408703
MNXM727276[e],576.816775927163,593.547065354031,412.856553631034,7089.11006983146,1724.36266910081
MNXM727657[e],3097.13257296372,2043.6354175942,2047.47129138711,4480.61127991511,1692.06321263336
MNXM727715[e],0,0,0,0,0
MNXM727746[e],0,0,0,0,0
MNXM727871[e],0,0,0,0,0
MNXM728337[e],1559.91571410571,1460.36691383377,1490.53349704633,4030.76253514133,1720.76266302194
MNXM729215[e],23550.4364690986,24338.608192551,22552.4607672193,5182.63303198528,3904.07596662254
MNXM729302[e],12784.0722176205,5035.93083089643,5286.4107919866,21634.5112731235,4703.19303505988
MNXM729358[e],40.8536213334507,32.5953618188167,42.9432992212533,28.0303001229342,61.0129774474016
MNXM729383[e],0,0,0,0,0
MNXM729613[e],23899.4878343914,1280.59340238418,725.307251590161,1662.08177383938,18585.2325198563
MNXM729800[e],6972.83435863248,6480.95498904788,6423.62663597435,3821.64009575369,7020.5768386188
MNXM729832[e],0,0,0,0,0
MNXM729872[e],0,0,0,0,0
MNXM729972[e],5002.49621873883,5001.23710038058,5001.43244371207,2002.91771404816,4997.40350669541
MNXM730135[e],10950.9364148153,2440.37534277449,2909.6891697173,15198.3799668664,2887.56972650575
MNXM730561[e],0,0,0,0,0
MNXM730707[e],0,0,0,0,0
MNXM730708[e],0,0,0,0,0
MNXM731166[e],23690.0994953189,16260.9135646184,2943.46805524924,10959.5271421492,1347.12226340406
MNXM731178[e],0,0,0,0,0
MNXM731366[e],0,0,0,0,0
MNXM731368[e],0,0,0,0,0
MNXM731668[e],83.7502278092106,47.1155118026432,54.3653946701695,38.7662195339294,80.1844312166168
MNXM731815[e],2052.88591105652,2028.55392570167,2033.95252201616,75.883958237306,118.809517313917
MNXM731835[e],11761.5524514171,20771.9059352859,21114.7771537013,8714.75573410776,1344.39342666173
MNXM731950[e],14408.8526882397,2208.47689598157,2188.06873886728,4593.9882349595,1694.33896721498
MNXM731962[e],0,0,0,0,0
MNXM732398[e],3427.26354298437,4782.44418929087,6815.14798428556,2321.23289484005,2470.18844788226
MNXM732620[e],5167.8917053093,6210.48967155822,6596.87621654968,6467.34514364125,7148.80148831253
MNXM733031[e],0,0,0,0,0
MNXM733114[e],12400.4835779621,2018.37969198152,2274.07782420304,14166.294826349,23322.7157758511
MNXM733186[e],11103.4738097445,1506.47480014887,1632.08782447409,3793.49007616984,2856.79391187094
MNXM733248[e],9016.47010459455,244.504497478172,330.865690687048,2846.80330067198,18209.7241812154
MNXM733250[e],0,0,0,0,0
MNXM733471[e],59.0936868581665,34.4248173693173,39.4297322649872,31.6393896520116,78.0212814810624
MNXM733473[e],31.6381475692486,17.2617652831147,21.1135868791616,8.56543063568714,15.5026800444868
MNXM733618[e],1000,0,0,0,0
MNXM733623[e],11661.3493126806,2.21893330616158e-14,316.419151293576,3122.04825560901,18660.9260833375
MNXM733828[e],0,0,0,0,0
MNXM733922[e],29.8259343536033,31.0246232947482,41.4560705956345,34.1834668716333,64.1705195151044
MNXM734041[e],117.014730544883,62.5428314556995,79.0949889512552,56.3926999271658,90.2120597888552
MNXM734044[e],25.4098825965797,15.7173308962267,18.4104761986063,14.5732119914961,25.457924138419
MNXM7343[e],0,0,0,0,0
MNXM734859[e],449.340622941986,288.083654998645,471.448765611209,409.00942507059,334.968184506506
MNXM734864[e],17499.403771739,17077.1381900822,4881.15223659837,4960.87741712267,2289.91486521464
MNXM735090[e],7996.11417421149,8020.34936811082,7028.4557566399,5015.19554047688,5001.20132867499
MNXM735208[e],5.20476645023104,5.46982930422622,6.27905817106348,99.7826121367849,117.34120672821
MNXM735438[e],1078.34416713941,1174.56207175604,7001.64215749851,1925.86246986611,2703.88996784027
MNXM735978[e],2448.70297066678,2248.89007691897,2629.9889688329,29718.1913886698,20822.6001089561
MNXM736064[e],5928.06407466769,5665.98336236513,5738.40703063379,5011.21462733281,4029.22485502784
MNXM736072[e],0,0,0,0,0
MNXM736134[e],0,0,0,0,0
MNXM736226[e],82.4377104917563,1076.51983906399,168.822818369943,649.924784129363,3026.14709303701
MNXM736341[e],0,0,0,0,7.53465375779796
MNXM736417[e],6457.11754612224,6268.46919953591,6834.95042415948,5717.72784736588,5996.83345391946
MNXM736618[e],0,0,0,0,0
MNXM736620[e],57.5887912108605,29.488416807075,36.3497889366365,11.9528969517171,21.5910092885003
MNXM736685[e],0,0,0,0,0
MNXM737340[e],20855.863866878,18294.0087540915,22746.6942488473,9396.25768667564,20844.6936690464
MNXM737414[e],291.507265789221,1388.29984948861,1336.44792190495,1353.10196640278,1198.24912022482
MNXM737417[e],395.320151284302,31060.0864914606,39353.9605559024,1371.24954851606,1202.72011429856
MNXM737489[e],801.135128957017,1400.2661068861,1371.30318873715,1337.8229060117,1203.02208240504
MNXM737492[e],830.001830912596,1428.72422672457,1409.79917145479,1358.56132414775,2096.7283426835
MNXM737603[e],0,0,0,0,0
MNXM737701[e],0,0,0,0,0
MNXM737787[e],16044.637077963,2979.76881587798,2936.01245026965,4171.87868021557,4088.31482904443
MNXM737824[e],28.7087012846339,14.2035053873624,15.8539563459801,13.9454797419212,26.3721420809944
MNXM737997[e],0,0,0,0,0
MNXM738068[e],3313.63706282142,1977.94538240754,2621.18108939432,14802.4924707089,2116.13446950088
MNXM738430[e],1005.03590634608,1005.7773524167,1005.96528033707,3004.33447716118,2003.41293699487
MNXM738432[e],0,0,0,0,0
MNXM738657[e],29.8022937497376,5.56130862110445,7.80924547902916,7.92177821348306,5.03160404711996
MNXM738663[e],6.3742422523208,7.39482482432476,8.61274357335144,8.47323591850164,0
MNXM738804[e],3582.2283316445,4458.25258756805,5830.86007161308,10148.2604729337,3685.63111475479
MNXM738834[e],12.9334245054587,12.1721653725752,13.4747654482535,259.673917390395,247.512399572991
MNXM738927[e],0,0,0,0,0
MNXM739017[e],153.388235196299,56.0734872668551,63.672332967686,58.6578144380645,75.2566098492692
MNXM739272[e],10769.6746381335,978.040616880018,1055.07094067221,1052.8804328408,354.627156603335
MNXM739275[e],1078.80639967085,1094.56987445961,2184.7906498528,5570.6352170873,1802.12907360696
MNXM739463[e],13.175996837809,9.00185398639198,11.3890112726067,8.41341562278601,13.6238527551218
MNXM739527[e],3992.17836139299,3381.03315260811,3627.24896455815,13815.3477151952,24287.5729746877
MNXM739586[e],0,0,0,0,0
MNXM739592[e],64.0979557803343,37.5463808339594,46.6684631610221,29.9737157050079,88.6618718726826
MNXM739756[e],0,0,0,1000,8.77964691624591e-17
MNXM739788[e],0,0,0,0,0
MNXM739791[e],0,0,0,0,0
MNXM739962[e],0,0,0,0,0
MNXM739991[e],107.302413924686,58.8709220192036,74.9445121211114,41.9619707055451,66.8535104947541
MNXM739994[e],27.3506766043058,15.9447193284353,19.4946310425302,12.4755565212195,21.0652454404551
MNXM739997[e],19.0726476382068,11.1334091087118,13.0798149768877,8.32339956431184,12.8056049634128
MNXM740231[e],28.70870128482,11.4053025880751,11.9372153755168,9.98345131436499,17.6730518791511
MNXM740896[e],0,0,0,0,0
MNXM741014[e],77.8241320891218,34.3248261277624,41.4836987015101,39.3517571245727,50.0067708119977
MNXM741016[e],18.2517256460462,14.5326422555445,17.1299220335617,16.5161978210512,15.6527044904011
MNXM741019[e],58.5109950343715,19.7648140084668,23.6632018250092,21.8672579554042,31.4037461281144
MNXM741173[e],10484.9379020228,4302.40884306923,4116.2533706731,7818.90124449235,1612.53183374622
MNXM741175[e],24599.1526941941,15658.2557598186,21199.4186022299,13022.8067598739,22019.2606587632
MNXM741553[e],17398.2015053722,2917.94624699468,4043.44508136254,4227.87758005668,2212.54444918785
MNXM741664[e],2491.52408537126,2213.94289004571,2420.97244178044,3721.41603558355,3296.73611695322
MNXM745[e],0,0,0,0,0
MNXM75[e],7915.38113823904,7822.48336653699,8445.58039308752,8337.5558605164,6045.55783776299
MNXM750[e],0,0,0,0,0
MNXM76[e],2558.79056315609,2235.50956448265,3428.37791695019,2596.144179979,4246.83737421813
MNXM761[e],146.09022711032,139.92390585405,120.60305614274,221.52639342308,107.06936145295
MNXM765[e],1000.92268348317,1002.64976890443,1003.08990600941,821.045568432574,263.30338073066
MNXM78362[e],76.3237239013037,37.6059224351614,51.9268563174332,32.4743838335869,41.5262513293448
MNXM792[e],0,0,0,0,0
MNXM7948[e],1000,916.688341382585,1000,1000,1000
MNXM821[e],6042.56185840931,5055.07806784087,7000.42504238806,5939.31993533003,5056.44621277021
MNXM8263[e],0,0,0,0,0
MNXM8264[e],0,0,0,0,0
MNXM8372[e],0,0,0,0,0
MNXM83847[e],0,0,0,0,0
MNXM8664[e],0,0,0,0,0
MNXM8667[e],0,0,0,0,0
MNXM8670[e],0,0,0,0,0
MNXM87121[e],28.7087012846339,11.4053025880747,11.9372153755168,9.98345131436499,17.6730518793258
MNXM8825[e],0,0,0,0,0
MNXM883[e],0,0,0,0,0
MNXM88338[e],27.0623346848646,6.49748256638351,16.0291353925382,8.19723236150263,21.7107395447192
MNXM8868[e],0,0,0,0,0
MNXM889[e],131.817730969819,47.2632072753609,199.462648369423,396.503851477331,21.09935455221
MNXM89612[e],26435.9379075986,22845.633413521,25477.7829670781,11030.7778162392,5517.88383870138
MNXM89812[e],1845.57441267937,25016.1818972309,21672.8821448866,10630.560926445,19503.1498053157
MNXM9[e],1964.47438164643,1563.71912200768,1592.28894473189,11367.7770253177,1498.67323289002
MNXM90[e],3822.78709952371,2570.24986445348,712.984781191392,1421.00749590277,3278.4642271587
MNXM900[e],0,0,0,0,0
MNXM90191[e],2299.41540036514,2966.03179393017,3923.15831976387,6118.2453142706,7131.69285015505
MNXM90509[e],81.9983604575894,42.0995926681581,49.7366757893796,34.8383008528957,42.3702114804525
MNXM90510[e],72.8626481108798,34.1094550756618,42.8543878614267,27.5350334525827,29.9398779681985
MNXM90511[e],95.6678526587185,52.9319689324222,65.7443216781641,49.571452635429,69.4429324173118
MNXM90512[e],131.196992912925,103.397317546193,123.815868266457,187.62415913162,103.324703111325
MNXM90960[e],17025.3159294929,3301.76843056183,3288.18043582677,6676.96732970625,1387.6843135175
MNXM927[e],0,0,0,0,0
MNXM95[e],68391.0817520637,38631.7369412156,45186.6661514683,22869.4119115097,21993.8371488099
MNXM97613[e],0,0,0,0,0
WATER[e],9307.39391671211,9792.33823395516,10920.5082879226,12831.114013484,12292.7626767247
MNXM6599[e],10.8276195276504,8.64834985255155,11.0898897518905,14.7284084782246,35.5408198631897
MNXM6601[e],19.3572378532203,6.18933450055113,8.94135751871488,4.593346711646,27.3031482996469
MNXM6604[e],537.124010206777,547.875702811388,550.494234731842,624.146969947114,688.361977330123
MNXM6606[e],9.35266096481778,3.64920998512007,5.5305100712174,2.29316633031135,2.82853011620693
MNXM1103432[e],37.7223662054354,16.7679676393049,19.285691740246,9.75402439027069,28.827060417797
MNXM91047[e],13.1778428965528,5.94267428120348,8.87369026405041,3.55330738205655,8.97245152974298
MNXM91053[e],69.3345989813354,58.8987292101754,68.3747895394688,129.953104927893,86.8226735411189
MNXM5078[e],17.7449376643218,9.18265636296568,13.4220334332353,6.01012758180759,130.705844715038
MNXM740794[e],1115.52082264515,16511.3328922634,20643.8606534712,1674.70876102771,1156.0369016321
MNXM7149[e],1000,1000,1000,255.685569259793,186.46885855901
MNXM736425[e],30.7936030010528,18.5031686792311,21.5273136326642,15.657166664535,13.2982031681198
MNXM736306[e],19.4645239713535,8.62745207216257,12.6334091596963,6.9063811092781,5.53377231999458
MNXM5079[e],1329.35315405085,1685.38995213177,1657.12759229552,1315.37368519217,1585.39373401147
MNXM736311[e],1000,1000,1000,27.9722552239255,33.9300461632148
MNXM741021[e],8.1395774810382,5.98291779331905,9.19775341718558,8.7368939876744,16.1542997760004
MNXM88342[e],4.57742713875369,3.46590752786784,4.90460436010372,4.77605931672039,10.6229793892083
MNXM88341[e],8.36146766329051,3.69927976709579,4.30314894304574,4.23520393394646,7.98004529593059
MNXM87122[e],28.7087012846339,11.4053025880747,11.9372153755168,9.98345131436499,17.6730518793258
MNXM731953[e],0,0,0,0,0
MNXM1843[e],0,0,0,0,0
MNXM1755[e],0,0,0,0,0
MNXM734837[e],0,0,0,0,0
MNXM1106995[e],0,0,0,0,0
MNXM162292[e],0,0,0,0,0
MNXM531925[e],0,0,0,0,0
MNXM4939[e],32.5575361014439,12.1023053554521,13.5625498746714,13.5383989407077,9.22179442812198
MNXM4940[e],42.8552929133538,13.1089843293606,16.118853290948,13.0530230079235,9.70514582265066
MNXM3774[e],40.2414690994674,14.6642858308881,16.9356251708934,15.8693818513532,11.207513244727
MNXM936[e],0,0,0,0,0
MNXM34808[e],35.6890585847055,21.2821744102431,25.3615733532644,18.2819722331571,25.317030671612
MNXM3447[e],32.845154115558,18.3963257915015,23.1055147593568,16.5973248753951,15.0500794889069
MNXM3450[e],38.0901471452445,26.6899660206106,29.864875556128,21.7589866634231,15.7536787070311
MNXM34739[e],29.0522359266435,12.0306333153596,13.39338475105,10.3916088952773,9.52635440389592
MNXM3452[e],59.126779829882,44.6067705761712,57.3974418003445,61.5232709006127,25.7857454231597
MNXM1855[e],3000,0,0,0,0
MNXM1102173[e],0,0,0,0,0
MNXM2182[e],0,0,0,0,0
MNXM1102189[e],0,0,0,0,0
MNXM740330[e],2084.36077974918,2078.6847355159,2079.40713129226,3038.4623991833,3017.90600375482
MNXM730[e],1112.07821365619,1093.94170791481,1082.96012727891,1029.8543473168,1103.4199826937
MNXM732757[e],0,0,0,0,0
MNXM1106047[e],0,0,0,0,0
MNXM1092518[e],0,0,0,0,0
MNXM1092537[e],0,0,0,0,0
MNXM1092540[e],0,0,0,0,0
MNXM1092538[e],0,0,0,0,0
MNXM1092539[e],0,0,0,0,0
MNXM1092536[e],0,0,0,0,0
MNXM144[e],0,0,0,0,0
MNXM60[e],981.928327669762,1845.2673859095,1974.73675727643,177.949518333474,2006.12152271735
MNXM730508[e],0,0,0,0,0
