"","Genome","all_ab_sorted_180d.Length","all_ab_sorted_180d.Read.Count","relative_ab"
"1","KG10_genomic",3139664,701192,6.23
"2","KG11_genomic",2532757,10324,0.11
"3","KG12_genomic",2515188,18168,0.2
"4","KG13_genomic",3532267,262416,2.07
"5","KG14_genomic",3445213,10371228,84.03
"6","KG1_genomic",3100625,4480,0.04
"7","KG2_genomic",4540404,4001,0.02
"8","KG3_genomic",3155661,1980,0.02
"9","KG4_genomic",2953898,5367,0.05
"10","KG5_genomic",2856519,1409,0.01
"11","KG6_genomic",3095961,528722,4.77
"12","KG7_genomic",3628267,7893,0.06
"13","KG8_genomic",4904117,368726,2.1
"14","KG9_genomic",2994058,29850,0.28
